trip_id,station_role,station_name,station_code,event_time,event_type,direction,service_day
E9612,access,올림픽공원,4136,14:54:25,departure,UP,DAY
E9614,access,올림픽공원,4136,15:05:25,departure,UP,DAY
E9616,access,올림픽공원,4136,15:16:25,departure,UP,DAY
E9618,access,올림픽공원,4136,15:27:50,departure,UP,DAY
E9620,access,올림픽공원,4136,15:38:25,departure,UP,DAY
E9622,access,올림픽공원,4136,15:49:25,departure,UP,DAY
E9624,access,올림픽공원,4136,16:00:25,departure,UP,DAY
E9626,access,올림픽공원,4136,16:11:25,departure,UP,DAY
E9628,access,올림픽공원,4136,16:22:25,departure,UP,DAY
E9630,access,올림픽공원,4136,16:33:25,departure,UP,DAY
E9632,access,올림픽공원,4136,16:44:25,departure,UP,DAY
E9634,access,올림픽공원,4136,16:56:25,departure,UP,DAY
E9636,access,올림픽공원,4136,17:08:10,departure,UP,DAY
E9638,access,올림픽공원,4136,17:19:25,departure,UP,DAY
E9640,access,올림픽공원,4136,17:30:25,departure,UP,DAY
E9642,access,올림픽공원,4136,17:37:45,departure,UP,DAY
E9644,access,올림픽공원,4136,17:46:10,departure,UP,DAY
E9646,access,올림픽공원,4136,17:54:35,departure,UP,DAY
E9648,access,올림픽공원,4136,18:01:30,departure,UP,DAY
E9650,access,올림픽공원,4136,18:08:20,departure,UP,DAY
E9652,access,올림픽공원,4136,18:15:10,departure,UP,DAY
E9654,access,올림픽공원,4136,18:22:00,departure,UP,DAY
E9656,access,올림픽공원,4136,18:28:50,departure,UP,DAY
E9658,access,올림픽공원,4136,18:35:40,departure,UP,DAY
E9660,access,올림픽공원,4136,18:42:30,departure,UP,DAY
E9662,access,올림픽공원,4136,18:49:20,departure,UP,DAY
E9664,access,올림픽공원,4136,18:56:10,departure,UP,DAY
E9666,access,올림픽공원,4136,19:03:00,departure,UP,DAY
E9668,access,올림픽공원,4136,19:09:50,departure,UP,DAY
E9670,access,올림픽공원,4136,19:16:40,departure,UP,DAY
E9672,access,올림픽공원,4136,19:23:30,departure,UP,DAY
E9674,access,올림픽공원,4136,19:30:20,departure,UP,DAY
E9676,access,올림픽공원,4136,19:37:10,departure,UP,DAY
E9678,access,올림픽공원,4136,19:44:00,departure,UP,DAY
E9680,access,올림픽공원,4136,19:50:50,departure,UP,DAY
E9682,access,올림픽공원,4136,19:57:40,departure,UP,DAY
E9684,access,올림픽공원,4136,20:04:30,departure,UP,DAY
E9686,access,올림픽공원,4136,20:11:20,departure,UP,DAY
E9688,access,올림픽공원,4136,20:19:45,departure,UP,DAY
E9690,access,올림픽공원,4136,20:28:45,departure,UP,DAY
E9692,access,올림픽공원,4136,20:37:45,departure,UP,DAY
E9694,access,올림픽공원,4136,20:50:05,departure,UP,DAY
E9696,access,올림픽공원,4136,21:00:40,departure,UP,DAY
E9698,access,올림픽공원,4136,21:11:40,departure,UP,DAY
E9700,access,올림픽공원,4136,21:22:40,departure,UP,DAY
E9702,access,올림픽공원,4136,21:33:40,departure,UP,DAY
E9704,access,올림픽공원,4136,21:44:40,departure,UP,DAY
E9706,access,올림픽공원,4136,21:55:40,departure,UP,DAY
E9708,access,올림픽공원,4136,22:06:40,departure,UP,DAY
E9710,access,올림픽공원,4136,22:17:40,departure,UP,DAY
E9712,access,올림픽공원,4136,22:28:40,departure,UP,DAY
E9714,access,올림픽공원,4136,22:39:40,departure,UP,DAY
E9716,access,올림픽공원,4136,22:50:40,departure,UP,DAY
E9718,access,올림픽공원,4136,23:01:40,departure,UP,DAY
E9720,access,올림픽공원,4136,23:12:40,departure,UP,DAY
E9722,access,올림픽공원,4136,23:23:40,departure,UP,DAY
E9724,access,올림픽공원,4136,23:34:40,departure,UP,DAY
E9726,access,올림픽공원,4136,23:45:40,departure,UP,DAY
E9728,access,올림픽공원,4136,23:56:40,departure,UP,DAY
E9730,access,올림픽공원,4136,24:07:40,departure,UP,DAY
E9732,access,올림픽공원,4136,24:18:40,departure,UP,DAY
