,stnode,endnode,Wkt,one_way,key,infra_type,length,osm_id,geometry
10,7,15442,"LINESTRING (-21.9007436 64.1396315, -21.9007868 64.1394879)",,edge_8548,service,0.016146038186290727,a824f014-8041-4565-923f-3a26bec4300b,"LINESTRING (-21.9007436 64.1396315, -21.9007868 64.1394879)"
11,8,10465,"LINESTRING (-21.8027949 64.1356462, -21.8029537 64.1352299)",,edge_5570,residential,0.047048699198383996,5949ad1f-b066-43b4-8389-4639ce2079a6,"LINESTRING (-21.8027949 64.1356462, -21.8029537 64.1352299)"
12,9,13715,"LINESTRING (-21.9034025 64.1456822, -21.9037433 64.1456598)",,edge_8692,tertiary,0.016775961554393096,b043fdca-6ef4-44f2-b2f3-7f3fdcc2f030,"LINESTRING (-21.9034025 64.1456822, -21.9037433 64.1456598)"
13,9,14284,"LINESTRING (-21.9034025 64.1456822, -21.9033862 64.1456387, -21.9033786 64.1456182, -21.9033599 64.1455674)",,edge_8695,service,0.012964775131885523,4f463591-c0ad-4465-9229-3972cc82dc33,"LINESTRING (-21.9034025 64.1456822, -21.9033599 64.1455674)"
14,10,11254,"LINESTRING (-21.7164258 64.1580257, -21.7162749 64.1581195)",,edge_18168,service,0.012776954671585256,1dae42fb-12b0-4a63-a06c-8f2c5427c8f6,"LINESTRING (-21.7164258 64.1580257, -21.7162749 64.1581195)"
15,10,16057,"LINESTRING (-21.7164258 64.1580257, -21.7171765 64.1582355)",,edge_18176,service,0.043371874793636696,9a3ee903-941b-41ec-b80c-15aa11c13ac0,"LINESTRING (-21.7164258 64.1580257, -21.7171765 64.1582355)"
16,11,13584,"LINESTRING (-21.8446493 64.1390679, -21.844601 64.1384384)",,edge_6413,unclassified,0.07021572993881653,74f4d512-8a88-4d9b-94ce-a69007872f39,"LINESTRING (-21.8446493 64.1390679, -21.844601 64.1384384)"
17,11,14337,"LINESTRING (-21.8446493 64.1390679, -21.8448333 64.1390649, -21.8449732 64.1390626)",,edge_6418,service,0.01578123961575828,83f9122f-2cbd-4320-99e2-1cec2df80a1a,"LINESTRING (-21.8446493 64.1390679, -21.8449732 64.1390626)"
18,12,9181,"LINESTRING (-21.7926033 64.1429634, -21.792611 64.1429286, -21.792733 64.1423772)",,edge_19079,residential,0.06565363596379442,8144d3f9-840e-4862-a990-62b1909a43fb,"LINESTRING (-21.7926033 64.1429634, -21.792733 64.1423772)"
19,12,12416,"LINESTRING (-21.7926033 64.1429634, -21.792446 64.1429579, -21.792301 64.1429528)",,edge_19080,residential,0.014763811991585427,1779cbc1-fd7f-4577-af52-9d7066530571,"LINESTRING (-21.7926033 64.1429634, -21.792301 64.1429528)"
20,14,14727,"LINESTRING (-21.7838151 64.1490645, -21.7840984 64.1490944)",,edge_18916,service,0.014185629519892185,b693c34d-c62a-4850-b754-72da35810ac4,"LINESTRING (-21.7838151 64.1490645, -21.7840984 64.1490944)"
21,15,17496,"LINESTRING (-21.7764491 64.0990725, -21.7760084 64.0992954, -21.7755691 64.0995175)",,edge_22024,residential,0.06558947955630329,1d3e1f6a-6877-421a-a40a-abf7e2d945c0,"LINESTRING (-21.7764491 64.0990725, -21.7755691 64.0995175)"
22,16,1730,"LINESTRING (-21.8622656 64.1445252, -21.8617862 64.1450491)",,edge_6744,residential,0.06289382719107421,485d97d1-58a3-44c2-b1bd-f2f1cf48c7b1,"LINESTRING (-21.8622656 64.1445252, -21.8617862 64.1450491)"
23,16,12037,"LINESTRING (-21.8622656 64.1445252, -21.8606644 64.1442547)",,edge_6745,residential,0.08357483379587206,9f445a13-3cc3-4c0e-b232-9b4efe567f5c,"LINESTRING (-21.8622656 64.1445252, -21.8606644 64.1442547)"
24,17,6216,"LINESTRING (-21.7597409 64.130617, -21.7597259 64.1306532, -21.7597259 64.1307019, -21.7597823 64.1307606, -21.760342 64.1309651, -21.7604418 64.130984, -21.7605416 64.1309651, -21.7608538 64.1307866)",,edge_19829,service,0.08780107054931617,b1646e25-1023-41cf-bf77-d1f185008b65,"LINESTRING (-21.7597409 64.130617, -21.7608538 64.1307866)"
25,18,11248,"LINESTRING (-21.7807228 64.1469109, -21.7809737 64.1468579)",,edge_18878,residential,0.01356665938174245,20c1939e-0e22-45f5-86ab-ee2207d4999e,"LINESTRING (-21.7807228 64.1469109, -21.7809737 64.1468579)"
26,19,9170,"LINESTRING (-21.8744816 64.1479118, -21.8743178 64.1478768, -21.8736529 64.1477361, -21.873479 64.1476922, -21.8733847 64.1476596, -21.8733442 64.1476355, -21.873323 64.1473964)",,edge_7335,service,0.09047842443289109,b24c2f22-17c3-4ef4-b646-305e1f844df0,"LINESTRING (-21.8744816 64.1479118, -21.873323 64.1473964)"
27,19,6212,"LINESTRING (-21.8744816 64.1479118, -21.8745346 64.1478674, -21.8745888 64.147808, -21.8746236 64.1477698, -21.8746509 64.1477382, -21.8747125 64.1476667, -21.8747596 64.1475837)",,edge_7348,tertiary,0.039106312833901445,67f93c9d-78c7-4d08-87df-23623397171e,"LINESTRING (-21.8744816 64.1479118, -21.8747596 64.1475837)"
28,20,6869,"LINESTRING (-21.6725883 64.1590137, -21.674712 64.1598317)",,edge_18105,secondary,0.1378097459567249,261c30ce-ab43-4331-ac48-2f7f120d4295,"LINESTRING (-21.6725883 64.1590137, -21.674712 64.1598317)"
29,20,6653,"LINESTRING (-21.6725883 64.1590137, -21.6727507 64.158945, -21.6730291 64.1588071, -21.6732052 64.1587018, -21.6734095 64.1584786, -21.6735248 64.1583967, -21.6736359 64.1583392, -21.6737345 64.1583083, -21.6738572 64.1582849, -21.6740289 64.1582693, -21.6801033 64.1578155)",,edge_18112,unclassified,0.41272489024274633,da36d8de-0e3c-4448-be75-441c99bf5d63,"LINESTRING (-21.6725883 64.1590137, -21.6801033 64.1578155)"
30,21,3766,"LINESTRING (-21.8114825 64.1274865, -21.8114663 64.1273983)",,edge_5404,service,0.009864087554969066,8581a9a9-f459-428d-bc2d-d3e898cbed83,"LINESTRING (-21.8114825 64.1274865, -21.8114663 64.1273983)"
31,21,975,"LINESTRING (-21.8114825 64.1274865, -21.8116784 64.1274827, -21.8117726 64.1274776, -21.8119359 64.1274697)",,edge_5412,service,0.022177615786998173,357b4aca-9e22-4320-91f4-632e4b62c627,"LINESTRING (-21.8114825 64.1274865, -21.8119359 64.1274697)"
32,22,7742,"LINESTRING (-21.8990082 64.1410378, -21.8999639 64.1412444, -21.900099 64.1412736)",,edge_8561,service,0.05925516775306142,3551d97e-6e46-46ac-b8a2-e085ab897681,"LINESTRING (-21.8990082 64.1410378, -21.900099 64.1412736)"
33,24,16507,"LINESTRING (-21.9396751 64.1386596, -21.9398179 64.1387237)",,edge_12377,primary,0.009970173476153789,289afcab-5a14-43a5-a7a4-4143d2aaaae9,"LINESTRING (-21.9396751 64.1386596, -21.9398179 64.1387237)"
34,24,15454,"LINESTRING (-21.9396751 64.1386596, -21.9391067 64.138897)",,edge_12387,secondary,0.03829231867537916,66b7340d-ca26-4fe8-bbc6-9c17bf68400f,"LINESTRING (-21.9396751 64.1386596, -21.9391067 64.138897)"
35,25,17136,"LINESTRING (-21.8322677 64.2424935, -21.8323139 64.2423959, -21.8325824 64.2418616)",,edge_14203,tertiary,0.07208061927304855,f33ebff4-1ec4-44c9-bf73-8c427e266fcf,"LINESTRING (-21.8322677 64.2424935, -21.8325824 64.2418616)"
36,25,7503,"LINESTRING (-21.8322677 64.2424935, -21.8325174 64.2424857, -21.8331274 64.2424963, -21.8337337 64.2425262)",,edge_14299,tertiary,0.07135465367062224,16bcbfd8-e4c2-43ff-8dd6-51044343df12,"LINESTRING (-21.8322677 64.2424935, -21.8337337 64.2425262)"
37,27,8381,"LINESTRING (-21.7987484 64.1349337, -21.7981863 64.1348067, -21.7979391 64.1347509, -21.7976219 64.1346778, -21.7967615 64.1344796)",,edge_5506,tertiary,0.10919809707010938,0306808c-2f1f-4dd5-9360-ceee966dd73a,"LINESTRING (-21.7987484 64.1349337, -21.7967615 64.1344796)"
38,28,2078,"LINESTRING (-21.7923796 64.1496723, -21.7929 64.1498126, -21.7933292 64.1498828, -21.7937214 64.1499242, -21.7940563 64.1499287, -21.7943716 64.1499295)",,edge_18568,residential,0.10336557951491097,a73b6ee2-b3df-40ea-a5a7-d038a1fbfde2,"LINESTRING (-21.7923796 64.1496723, -21.7943716 64.1499295)"
39,29,9981,"LINESTRING (-21.7269829 64.1697794, -21.7272691 64.1691925)",,edge_15768,residential,0.06689184181286777,889106cc-7857-4268-8687-f8d576d12487,"LINESTRING (-21.7269829 64.1697794, -21.7272691 64.1691925)"
40,30,10886,"LINESTRING (-21.6936055 64.1888497, -21.692873 64.1890301)",,edge_16822,unclassified,0.04088806565813337,3a2d18f7-5a97-4594-a78a-7f81ba80945e,"LINESTRING (-21.6936055 64.1888497, -21.692873 64.1890301)"
41,30,2393,"LINESTRING (-21.6936055 64.1888497, -21.6938755 64.1896392)",,edge_16824,service,0.08898649753868282,4f239735-a633-47cf-94e4-603c57d9bf79,"LINESTRING (-21.6936055 64.1888497, -21.6938755 64.1896392)"
42,31,17467,"LINESTRING (-21.8769927 64.1362209, -21.8772222 64.1361429, -21.877278 64.1361439)",,edge_2666,service,0.016878970089716547,14730f1b-e694-4dae-acbb-cc7101812b9f,"LINESTRING (-21.8769927 64.1362209, -21.877278 64.1361439)"
43,32,7730,"LINESTRING (-21.6679845 64.1699151, -21.6680228 64.1699784, -21.6680709 64.1700404, -21.6681285 64.1701009, -21.6682225 64.170147, -21.6683239 64.17019, -21.6684321 64.1702297)",,edge_16545,residential,0.042530040730505314,1883051f-6003-48c2-aa49-4f08b346d131,"LINESTRING (-21.6679845 64.1699151, -21.6684321 64.1702297)"
44,33,17591,"LINESTRING (-21.823773 64.1110168, -21.8237455 64.110711, -21.8236945 64.1103208, -21.8236337 64.1100773, -21.8235813 64.109994, -21.8234867 64.1099416, -21.8233938 64.109918, -21.8232755 64.1099062, -21.8230592 64.109901, -21.8224306 64.1098932, -21.821231 64.1098995, -21.8211991 64.1098997, -21.8210131 64.1099008)",,edge_1050,secondary,0.24351846595678617,f19f114d-8fda-4597-96b9-6b895608e016,"LINESTRING (-21.823773 64.1110168, -21.8210131 64.1099008)"
45,34,16626,"LINESTRING (-21.8778283 64.1359644, -21.8783961 64.1362903)",,edge_2659,service,0.04565496101847618,44239d2e-f514-4fa2-a713-d7d9b639c243,"LINESTRING (-21.8778283 64.1359644, -21.8783961 64.1362903)"
46,34,17467,"LINESTRING (-21.8778283 64.1359644, -21.877753 64.135983, -21.8777318 64.13599, -21.8774506 64.1360854, -21.877278 64.1361439)",,edge_2663,service,0.033482060601726316,9e20ccfd-b0b6-486c-86e6-64b978284cc2,"LINESTRING (-21.8778283 64.1359644, -21.877278 64.1361439)"
47,35,10193,"LINESTRING (-21.8608075 64.2493237, -21.8607788 64.2490638, -21.8607246 64.2488992, -21.8605756 64.2487021)",,edge_14373,track,0.07067506403337118,f4af36da-64fb-4afe-80cf-a93045246863,"LINESTRING (-21.8608075 64.2493237, -21.8605756 64.2487021)"
48,36,2150,"LINESTRING (-21.8337752 64.2725784, -21.8330605 64.27305, -21.8329798 64.273112, -21.8328915 64.2731798, -21.8326769 64.2733955, -21.8325671 64.2735334, -21.8325113 64.2736045, -21.8325231 64.2736668, -21.8325181 64.2737284, -21.8324228 64.2737707, -21.8318226 64.2753532, -21.8316427 64.2758752, -21.8316091 64.2760532, -21.8313058 64.2770898, -21.8311317 64.2778686, -21.8309819 64.2788007, -21.830969 64.279056, -21.8309366 64.2792606, -21.8307887 64.2798968, -21.8305069 64.2808493, -21.8303785 64.2815748, -21.8303113 64.2821321)",,edge_14419,track,1.089313802461655,68c399e5-3bad-4f48-ba92-6c981cb0316f,"LINESTRING (-21.8337752 64.2725784, -21.8303113 64.2821321)"
49,37,16167,"LINESTRING (-21.8324549 64.0968888, -21.8320616 64.0966113, -21.8330705 64.0963455)",,edge_112,residential,0.09382903682703467,c582d1cc-fc66-491c-89a1-a1a8a4b8271b,"LINESTRING (-21.8324549 64.0968888, -21.8330705 64.0963455)"
50,37,14620,"LINESTRING (-21.8324549 64.0968888, -21.8327951 64.0968003)",,edge_113,service,0.019300996304939026,5163507d-b7fe-449e-a599-a0ce1667b7fc,"LINESTRING (-21.8324549 64.0968888, -21.8327951 64.0968003)"
51,38,4984,"LINESTRING (-21.8787553 64.1201683, -21.8798927 64.1202161)",,edge_1856,residential,0.055671386357277586,cbff721a-8011-403c-a55f-0a9502ddcf11,"LINESTRING (-21.8787553 64.1201683, -21.8798927 64.1202161)"
52,39,10242,"LINESTRING (-21.8913929 64.128614, -21.8913123 64.1284729, -21.8912066 64.1283294, -21.890846 64.127945, -21.8907231 64.1278072)",,edge_9861,residential,0.09581697086377056,6add2cd8-f073-457a-9c48-b1d94606d7da,"LINESTRING (-21.8913929 64.128614, -21.8907231 64.1278072)"
53,39,4772,"LINESTRING (-21.8913929 64.128614, -21.891552 64.1285863, -21.8922379 64.1284641, -21.8923031 64.1284553)",,edge_9863,residential,0.047744368966098516,92ad4816-f922-49bd-a372-0340f966ad40,"LINESTRING (-21.8913929 64.128614, -21.8923031 64.1284553)"
54,40,12874,"LINESTRING (-21.800665 64.1429819, -21.8003196 64.1429614)",,edge_5977,service,0.01696920637991401,75f60327-1f79-4c42-87ee-5a5a60c2daf9,"LINESTRING (-21.800665 64.1429819, -21.8003196 64.1429614)"
55,40,11113,"LINESTRING (-21.800665 64.1429819, -21.800661 64.142994)",,edge_5990,unclassified,0.00136288535065963,b42b06c2-4c8d-42fb-bbb2-768cd38cce50,"LINESTRING (-21.800665 64.1429819, -21.800661 64.142994)"
56,41,10079,"LINESTRING (-21.9601393 64.1478746, -21.9601003 64.1478826, -21.9596462 64.1479757, -21.9594456 64.1480168, -21.9591085 64.1480859)",,edge_12007,residential,0.05542643837127276,97c3e48a-41fc-4a10-a4f4-68df8e342f6d,"LINESTRING (-21.9601393 64.1478746, -21.9591085 64.1480859)"
57,42,14305,"LINESTRING (-21.9751857 64.1479847, -21.9755418 64.1479867, -21.9755879 64.1479718, -21.9756049 64.1479527, -21.9756215 64.1477247, -21.9756221 64.1476824)",,edge_13743,residential,0.05255580485802403,9163d3a4-e49b-49f9-8a66-a380686da585,"LINESTRING (-21.9751857 64.1479847, -21.9756221 64.1476824)"
58,43,5989,"LINESTRING (-21.9295928 64.1363112, -21.929395 64.1363019, -21.9291313 64.1362953, -21.9289655 64.136295, -21.9287424 64.1362935, -21.9275005 64.1363096, -21.9274344 64.1363107)",,edge_11126,service,0.10520652794027945,290e6a46-e2c1-40f5-8bcc-c85c01ee921b,"LINESTRING (-21.9295928 64.1363112, -21.9274344 64.1363107)"
59,44,11983,"LINESTRING (-21.8831613 64.138599, -21.8827439 64.13911, -21.882741 64.1391187, -21.8827472 64.139128, -21.882761 64.1391346, -21.8832441 64.1392159)",,edge_7180,service,0.08874586680152041,1fe0da21-d6e6-4adf-acb7-916075409540,"LINESTRING (-21.8831613 64.138599, -21.8832441 64.1392159)"
60,44,9595,"LINESTRING (-21.8831613 64.138599, -21.8834283 64.1386447, -21.8836936 64.1386904, -21.8839183 64.1387139, -21.8841667 64.1387294, -21.8844252 64.1387419, -21.8849845 64.1387478)",,edge_7200,service,0.09121780412204952,1e0c721b-d1f8-4852-ae7d-e323358515cc,"LINESTRING (-21.8831613 64.138599, -21.8849845 64.1387478)"
61,45,17774,"LINESTRING (-21.9685156 64.14297, -21.9678833 64.1430621)",,edge_11812,service,0.03244850658536271,ee0e76fa-a1b2-4b2b-baf8-9c3438f0b342,"LINESTRING (-21.9685156 64.14297, -21.9678833 64.1430621)"
62,45,9130,"LINESTRING (-21.9685156 64.14297, -21.9683416 64.1427559, -21.9682414 64.1426242)",,edge_11821,residential,0.04079729158037514,47041c6b-2f76-4630-8956-494433b7628a,"LINESTRING (-21.9685156 64.14297, -21.9682414 64.1426242)"
63,46,7295,"LINESTRING (-21.644467 64.0924003, -21.6442202 64.0923206, -21.643201 64.0921542, -21.6412591 64.0918307, -21.6389202 64.0914487, -21.6371016 64.091158, -21.6350471 64.0908158, -21.632853 64.0904431, -21.6310088 64.0901273)",,edge_17621,track,0.7041582340245267,262aa373-b02e-4881-a4c1-9f87b37e1338,"LINESTRING (-21.644467 64.0924003, -21.6310088 64.0901273)"
64,47,881,"LINESTRING (-21.7884014 64.1494959, -21.788363 64.1494548, -21.7882981 64.1494207, -21.7882127 64.1493966, -21.7881147 64.1493847)",,edge_18658,tertiary,0.01979074103309003,3e8b152c-de6e-41ba-ac2c-f688e5437a0d,"LINESTRING (-21.7884014 64.1494959, -21.7881147 64.1493847)"
65,48,15862,"LINESTRING (-21.824953 64.0976178, -21.8250979 64.0976841, -21.8254323 64.0979192, -21.8255185 64.0979833)",,edge_508,service,0.04938207673042225,bef30356-dc6c-430a-b624-3dddf19d7b96,"LINESTRING (-21.824953 64.0976178, -21.8255185 64.0979833)"
66,48,15862,"LINESTRING (-21.824953 64.0976178, -21.8249566 64.0978126, -21.8251619 64.0979742, -21.8255185 64.0979833)",,edge_512,service,0.059743762322530355,0548cd54-4f40-4bba-993d-ee25faf5dc17,"LINESTRING (-21.824953 64.0976178, -21.8255185 64.0979833)"
67,48,3307,"LINESTRING (-21.824953 64.0976178, -21.8253388 64.0976688, -21.8257048 64.0979378)",,edge_511,service,0.054548782268369345,eccd2373-e596-4622-a6ad-3edbaa6f98f7,"LINESTRING (-21.824953 64.0976178, -21.8257048 64.0979378)"
68,49,936,"LINESTRING (-21.8232509 64.1276226, -21.8232403 64.127591, -21.8231143 64.1272141, -21.8230971 64.1271631)",,edge_5727,unclassified,0.05176964573468074,8086233e-e130-445d-83d5-1347923bf21d,"LINESTRING (-21.8232509 64.1276226, -21.8230971 64.1271631)"
69,49,10636,"LINESTRING (-21.8232509 64.1276226, -21.8234159 64.1276113, -21.8235927 64.1275992)",,edge_5728,service,0.01685168127796585,4f111fa2-a376-46cf-8d8c-34d1c4aa437c,"LINESTRING (-21.8232509 64.1276226, -21.8235927 64.1275992)"
70,50,12149,"LINESTRING (-21.8684095 64.1476549, -21.8683938 64.1476306, -21.86836 64.1476101, -21.8683122 64.147596, -21.8682561 64.1475898, -21.8681986 64.1475923, -21.8681722 64.1475979)",,edge_6936,service,0.015496253586075539,4a89caed-85aa-44f2-ab7a-35f95651f8f6,"LINESTRING (-21.8684095 64.1476549, -21.8681722 64.1475979)"
71,51,17718,"LINESTRING (-21.6501467 64.1288175, -21.6496912 64.1285629, -21.6492867 64.1283603, -21.6477696 64.1276858)",,edge_17917,secondary,0.17142079555257148,b365c964-9bb2-412b-a1a9-ad7c0c755261,"LINESTRING (-21.6501467 64.1288175, -21.6477696 64.1276858)"
72,51,3026,"LINESTRING (-21.6501467 64.1288175, -21.6500663 64.1288471, -21.6498974 64.1289092, -21.6497569 64.1289609)",,edge_17924,service,0.024819606653176115,07857825-e5d7-44d0-8fd9-54543bd7cfa6,"LINESTRING (-21.6501467 64.1288175, -21.6497569 64.1289609)"
73,52,63,"LINESTRING (-21.9471817 64.1544147, -21.9469491 64.1542561)",,edge_12874,service,0.020993324845424058,017b8e94-76be-41b6-9f97-abe902b27a8a,"LINESTRING (-21.9471817 64.1544147, -21.9469491 64.1542561)"
74,52,2262,"LINESTRING (-21.9471817 64.1544147, -21.9475318 64.1543056)",,edge_13142,service,0.020932392197030043,238bb1f9-dd3a-420e-b1f2-4eca859afd22,"LINESTRING (-21.9471817 64.1544147, -21.9475318 64.1543056)"
75,54,18128,"LINESTRING (-21.8443446 64.0964786, -21.8442734 64.0964252, -21.8441402 64.0963245, -21.8440818 64.0961018, -21.8439744 64.0956922, -21.8438748 64.0953122)",,edge_1682,residential,0.13345071879530399,c1c18530-155b-4cac-b2d4-d5c2c85813a9,"LINESTRING (-21.8443446 64.0964786, -21.8438748 64.0953122)"
76,54,2948,"LINESTRING (-21.8443446 64.0964786, -21.8434627 64.0966796)",,edge_1684,tertiary,0.048491439757203596,389f4f7a-a5ca-4e46-beca-f05c09158364,"LINESTRING (-21.8443446 64.0964786, -21.8434627 64.0966796)"
77,55,12976,"LINESTRING (-21.8949001 64.1472921, -21.894443 64.1473016, -21.8941534 64.1472969, -21.8939066 64.1472759, -21.8936706 64.1472244, -21.8934438 64.1471646, -21.893253 64.1470903)",,edge_8986,primary,0.0868006197260059,b02a2b96-a555-4e0f-8d1f-a38e39d0ea88,"LINESTRING (-21.8949001 64.1472921, -21.893253 64.1470903)"
78,55,7659,"LINESTRING (-21.8949001 64.1472921, -21.8942991 64.1473703, -21.8937989 64.147456, -21.8936346 64.1474842)",,edge_8987,primary,0.06527123831321542,e73fe5b0-28de-47c8-8dfa-98e3f9f2e27a,"LINESTRING (-21.8949001 64.1472921, -21.8936346 64.1474842)"
79,57,12827,"LINESTRING (-21.7569518 64.1267414, -21.7568161 64.1267403)",,edge_20762,tertiary,0.00661108225051972,4616531b-9bd1-4da0-b5e4-c4d35c2157c2,"LINESTRING (-21.7569518 64.1267414, -21.7568161 64.1267403)"
80,57,14946,"LINESTRING (-21.7569518 64.1267414, -21.7570702 64.1267871, -21.7572311 64.1268035, -21.757451 64.1268035, -21.7574979 64.1267994, -21.7576388 64.1267871, -21.7577997 64.1267483)",,edge_20764,service,0.04473475485298162,a0cc60a5-96c6-4d21-a313-085095c6ca4d,"LINESTRING (-21.7569518 64.1267414, -21.7577997 64.1267483)"
81,58,2507,"LINESTRING (-21.7108994 64.2083654, -21.7111382 64.2083466, -21.7117283 64.2082539)",,edge_15431,unclassified,0.042251415771561114,2f78d65d-bba4-4de7-b03b-37a5aa75b01d,"LINESTRING (-21.7108994 64.2083654, -21.7117283 64.2082539)"
82,58,16149,"LINESTRING (-21.7108994 64.2083654, -21.7110014 64.2084295, -21.7111923 64.208475, -21.7121832 64.2086104)",,edge_15562,track,0.06969979762777848,975974af-4f4d-4049-b72f-e3b507e3a70f,"LINESTRING (-21.7108994 64.2083654, -21.7121832 64.2086104)"
83,59,2482,"LINESTRING (-21.6533997 64.200762, -21.6530468 64.2008932, -21.6527956 64.2010165, -21.6506693 64.2023142, -21.6494874 64.203069, -21.6459287 64.2052909, -21.6451131 64.2057838, -21.6449657 64.2058983, -21.6448532 64.2060455, -21.6448033 64.2061724, -21.6443917 64.208195, -21.6443452 64.2083144)",,edge_15384,unclassified,0.9764844963135367,fee4c6c1-c615-4084-b019-b883e0e34adf,"LINESTRING (-21.6533997 64.200762, -21.6443452 64.2083144)"
84,60,14318,"LINESTRING (-21.8689415 64.1509484, -21.8690457 64.150859, -21.8693884 64.1505647, -21.8694152 64.1505371, -21.8694278 64.1505076, -21.8694257 64.1504776, -21.8694087 64.1504484, -21.8693776 64.1504214, -21.8693339 64.1503979, -21.867829 64.1500522, -21.8677735 64.1499794)",,edge_7593,service,0.15943770050974998,77f9ae8c-27a2-4bbb-8e8a-130bce84f3ad,"LINESTRING (-21.8689415 64.1509484, -21.8677735 64.1499794)"
85,60,12417,"LINESTRING (-21.8689415 64.1509484, -21.868431 64.1508395, -21.8681949 64.150664, -21.8675083 64.150498)",,edge_7636,service,0.08853935943175975,9f32015d-999f-462a-96c7-c5c9abfd90fb,"LINESTRING (-21.8689415 64.1509484, -21.8675083 64.150498)"
86,61,10513,"LINESTRING (-21.8182475 64.1051017, -21.8178816 64.1050998)",,edge_713,service,0.017838101343422858,c2ad0c01-2fbb-4e1d-960b-b01f75910b83,"LINESTRING (-21.8182475 64.1051017, -21.8178816 64.1050998)"
87,61,13148,"LINESTRING (-21.8182475 64.1051017, -21.8188275 64.1051013)",,edge_1082,service,0.028273796065630283,55a8ea37-48d1-49e5-80ad-751fd762054f,"LINESTRING (-21.8182475 64.1051017, -21.8188275 64.1051013)"
88,62,16292,"LINESTRING (-21.7174307 64.1670936, -21.7174682 64.1669919, -21.7174213 64.1669576)",,edge_15715,service,0.015935818926714414,3ac52ce8-6fdb-46f8-b8d5-717df64c6eb0,"LINESTRING (-21.7174307 64.1670936, -21.7174213 64.1669576)"
89,64,12094,"LINESTRING (-21.9000355 64.1289201, -21.9000327 64.1290017)",,edge_9781,primary,0.009097736094830592,02590997-4c2d-4e24-93ea-ac49ced9f56f,"LINESTRING (-21.9000355 64.1289201, -21.9000327 64.1290017)"
