,stnode,endnode,Type,infra_type,one_way,Wkt,length,key,osm_id,geometry
16,5,2302,legitimate,residential,,"LINESTRING (-21.9658228 64.1449159, -21.9656944 64.1449422, -21.9648939 64.145106)",0.04993684647806213,edge_11951,a8d6b2ad-2b5c-482f-be1d-e3d4b33ab356,"LINESTRING (-21.9658228 64.1449159, -21.9648939 64.145106)"
17,5,5803,legitimate,service,,"LINESTRING (-21.9665725 64.1456393, -21.9662661 64.1453451, -21.9658228 64.1449159)",0.08851726234886699,edge_11944,54ea10dd-06e5-4731-a849-41b74c760d3a,"LINESTRING (-21.9658228 64.1449159, -21.9665725 64.1456393)"
18,5,9390,legitimate,residential,,"LINESTRING (-21.9663724 64.1448034, -21.9658228 64.1449159)",0.029547279117467178,edge_11950,a8d6b2ad-2b5c-482f-be1d-e3d4b33ab356,"LINESTRING (-21.9658228 64.1449159, -21.9663724 64.1448034)"
19,6,10078,legitimate,residential,,"LINESTRING (-21.7903039 64.1486255, -21.7900431 64.1485541, -21.7895039 64.1482809)",0.05518634039681324,edge_18955,7676ac7e-4902-47ec-b605-8431ae16c50c,"LINESTRING (-21.7895039 64.1482809, -21.7903039 64.1486255)"
20,7,15442,legitimate,service,,"LINESTRING (-21.9007436 64.1396315, -21.9007868 64.1394879)",0.016146038186290727,edge_8548,a824f014-8041-4565-923f-3a26bec4300b,"LINESTRING (-21.9007436 64.1396315, -21.9007868 64.1394879)"
21,8,10465,legitimate,residential,,"LINESTRING (-21.8027949 64.1356462, -21.8029537 64.1352299)",0.047048699198383996,edge_5570,5949ad1f-b066-43b4-8389-4639ce2079a6,"LINESTRING (-21.8027949 64.1356462, -21.8029537 64.1352299)"
22,9,13715,legitimate,tertiary,,"LINESTRING (-21.9034025 64.1456822, -21.9037433 64.1456598)",0.016775961554393096,edge_8692,b043fdca-6ef4-44f2-b2f3-7f3fdcc2f030,"LINESTRING (-21.9034025 64.1456822, -21.9037433 64.1456598)"
23,9,14284,legitimate,service,,"LINESTRING (-21.9034025 64.1456822, -21.9033862 64.1456387, -21.9033786 64.1456182, -21.9033599 64.1455674)",0.012964775131885523,edge_8695,4f463591-c0ad-4465-9229-3972cc82dc33,"LINESTRING (-21.9034025 64.1456822, -21.9033599 64.1455674)"
24,9,15521,legitimate,tertiary,,"LINESTRING (-21.9029045 64.1457149, -21.9031729 64.1456973, -21.9034025 64.1456822)",0.024513608685111786,edge_8691,b043fdca-6ef4-44f2-b2f3-7f3fdcc2f030,"LINESTRING (-21.9034025 64.1456822, -21.9029045 64.1457149)"
25,10,7317,legitimate,service,,"LINESTRING (-21.7171498 64.1575127, -21.7164258 64.1580257)",0.06716782277708919,edge_18167,1dae42fb-12b0-4a63-a06c-8f2c5427c8f6,"LINESTRING (-21.7164258 64.1580257, -21.7171498 64.1575127)"
26,10,11254,legitimate,service,,"LINESTRING (-21.7164258 64.1580257, -21.7162749 64.1581195)",0.012776954671585256,edge_18168,1dae42fb-12b0-4a63-a06c-8f2c5427c8f6,"LINESTRING (-21.7164258 64.1580257, -21.7162749 64.1581195)"
27,10,16057,legitimate,service,,"LINESTRING (-21.7164258 64.1580257, -21.7171765 64.1582355)",0.043371874793636696,edge_18176,9a3ee903-941b-41ec-b80c-15aa11c13ac0,"LINESTRING (-21.7164258 64.1580257, -21.7171765 64.1582355)"
28,11,13584,legitimate,unclassified,,"LINESTRING (-21.8446493 64.1390679, -21.844601 64.1384384)",0.07021572993881653,edge_6413,74f4d512-8a88-4d9b-94ce-a69007872f39,"LINESTRING (-21.8446493 64.1390679, -21.844601 64.1384384)"
29,11,14337,legitimate,service,,"LINESTRING (-21.8446493 64.1390679, -21.8448333 64.1390649, -21.8449732 64.1390626)",0.01578123961575828,edge_6418,83f9122f-2cbd-4320-99e2-1cec2df80a1a,"LINESTRING (-21.8446493 64.1390679, -21.8449732 64.1390626)"
30,11,16610,legitimate,unclassified,,"LINESTRING (-21.8446783 64.1394444, -21.8446493 64.1390679)",0.04199577265733416,edge_6412,74f4d512-8a88-4d9b-94ce-a69007872f39,"LINESTRING (-21.8446493 64.1390679, -21.8446783 64.1394444)"
31,12,8308,legitimate,residential,,"LINESTRING (-21.7926709 64.1429665, -21.7926033 64.1429634)",0.0033089706733308213,edge_19081,6b581b3b-971b-425b-8503-d8fae64321d5,"LINESTRING (-21.7926033 64.1429634, -21.7926709 64.1429665)"
32,12,9181,legitimate,residential,,"LINESTRING (-21.7926033 64.1429634, -21.792611 64.1429286, -21.792733 64.1423772)",0.06565363596379442,edge_19079,8144d3f9-840e-4862-a990-62b1909a43fb,"LINESTRING (-21.7926033 64.1429634, -21.792733 64.1423772)"
33,12,12416,legitimate,residential,,"LINESTRING (-21.7926033 64.1429634, -21.792446 64.1429579, -21.792301 64.1429528)",0.014763811991585427,edge_19080,1779cbc1-fd7f-4577-af52-9d7066530571,"LINESTRING (-21.7926033 64.1429634, -21.792301 64.1429528)"
34,13,1321,legitimate,service,,"LINESTRING (-21.6469447 64.1180696, -21.6471021 64.1178002, -21.6471359 64.1177168, -21.647138 64.1176528, -21.6470884 64.1175984, -21.6469717 64.1175515, -21.6467947 64.1175047)",0.07190651024511019,edge_17891,94ae05bf-c4ed-4e28-b11d-2bbb7bf4f95b,"LINESTRING (-21.6467947 64.1175047, -21.6469447 64.1180696)"
35,14,11398,legitimate,service,,"LINESTRING (-21.7840432 64.1483324, -21.7838879 64.1485848, -21.7839303 64.1486228, -21.783984 64.1486602, -21.7839893 64.1486953, -21.7838738 64.1489395, -21.7838151 64.1490645)",0.08471197653418178,edge_18920,8ed5f5f2-d63d-4b6a-a4db-39fce8d629f9,"LINESTRING (-21.7838151 64.1490645, -21.7840432 64.1483324)"
36,14,13430,legitimate,service,,"LINESTRING (-21.7837172 64.1490541, -21.7838151 64.1490645)",0.004903904712058951,edge_18915,b693c34d-c62a-4850-b754-72da35810ac4,"LINESTRING (-21.7838151 64.1490645, -21.7837172 64.1490541)"
37,14,14727,legitimate,service,,"LINESTRING (-21.7838151 64.1490645, -21.7840984 64.1490944)",0.014185629519892185,edge_18916,b693c34d-c62a-4850-b754-72da35810ac4,"LINESTRING (-21.7838151 64.1490645, -21.7840984 64.1490944)"
38,15,4663,legitimate,residential,,"LINESTRING (-21.7774748 64.0985539, -21.7770689 64.0987591, -21.7765543 64.0990194, -21.7764491 64.0990725)",0.076443013673476,edge_22023,5c1b6fdc-6fb4-479e-a544-65117171a8cb,"LINESTRING (-21.7764491 64.0990725, -21.7774748 64.0985539)"
39,15,12083,legitimate,residential,,"LINESTRING (-21.7759701 64.0988094, -21.7760175 64.0989029, -21.7763104 64.0990213, -21.7763202 64.0990249, -21.7764491 64.0990725)",0.03897263158166284,edge_22029,40cac6a1-8bf1-4708-84a0-a44c7f1a3fbf,"LINESTRING (-21.7764491 64.0990725, -21.7759701 64.0988094)"
40,15,17496,legitimate,residential,,"LINESTRING (-21.7764491 64.0990725, -21.7760084 64.0992954, -21.7755691 64.0995175)",0.06558947955630329,edge_22024,1d3e1f6a-6877-421a-a40a-abf7e2d945c0,"LINESTRING (-21.7764491 64.0990725, -21.7755691 64.0995175)"
41,16,1730,legitimate,residential,,"LINESTRING (-21.8622656 64.1445252, -21.8617862 64.1450491)",0.06289382719107421,edge_6744,485d97d1-58a3-44c2-b1bd-f2f1cf48c7b1,"LINESTRING (-21.8622656 64.1445252, -21.8617862 64.1450491)"
42,16,12037,legitimate,residential,,"LINESTRING (-21.8622656 64.1445252, -21.8606644 64.1442547)",0.08357483379587206,edge_6745,9f445a13-3cc3-4c0e-b232-9b4efe567f5c,"LINESTRING (-21.8622656 64.1445252, -21.8606644 64.1442547)"
43,16,18027,legitimate,residential,,"LINESTRING (-21.8633215 64.1433286, -21.8631974 64.1434693, -21.8622656 64.1445252)",0.14295693855075908,edge_6739,82aed8c4-ddae-4776-a13e-c7bbea7c5efd,"LINESTRING (-21.8622656 64.1445252, -21.8633215 64.1433286)"
44,17,6216,legitimate,service,,"LINESTRING (-21.7597409 64.130617, -21.7597259 64.1306532, -21.7597259 64.1307019, -21.7597823 64.1307606, -21.760342 64.1309651, -21.7604418 64.130984, -21.7605416 64.1309651, -21.7608538 64.1307866)",0.08780107054931617,edge_19829,b1646e25-1023-41cf-bf77-d1f185008b65,"LINESTRING (-21.7597409 64.130617, -21.7608538 64.1307866)"
45,17,16148,legitimate,service,,"LINESTRING (-21.7602162 64.130558, -21.7597409 64.130617)",0.024064930058416725,edge_19820,cfe09b2a-11b2-4f4e-9ff4-ae08b35abb1a,"LINESTRING (-21.7597409 64.130617, -21.7602162 64.130558)"
46,17,17512,legitimate,service,,"LINESTRING (-21.7597961 64.1305198, -21.7597409 64.130617)",0.011164319909802682,edge_19822,815b1574-ee16-45e4-8b71-bef73ea65296,"LINESTRING (-21.7597409 64.130617, -21.7597961 64.1305198)"
47,18,11248,legitimate,residential,,"LINESTRING (-21.7807228 64.1469109, -21.7809737 64.1468579)",0.01356665938174245,edge_18878,20c1939e-0e22-45f5-86ab-ee2207d4999e,"LINESTRING (-21.7807228 64.1469109, -21.7809737 64.1468579)"
48,19,2702,legitimate,tertiary,,"LINESTRING (-21.8731371 64.1490367, -21.8736427 64.1486148, -21.8741159 64.1482183, -21.8744816 64.1479118)",0.14145089149689866,edge_7347,67f93c9d-78c7-4d08-87df-23623397171e,"LINESTRING (-21.8744816 64.1479118, -21.8731371 64.1490367)"
49,19,6212,legitimate,tertiary,,"LINESTRING (-21.8744816 64.1479118, -21.8745346 64.1478674, -21.8745888 64.147808, -21.8746236 64.1477698, -21.8746509 64.1477382, -21.8747125 64.1476667, -21.8747596 64.1475837)",0.039106312833901445,edge_7348,67f93c9d-78c7-4d08-87df-23623397171e,"LINESTRING (-21.8744816 64.1479118, -21.8747596 64.1475837)"
50,19,9170,legitimate,service,,"LINESTRING (-21.8744816 64.1479118, -21.8743178 64.1478768, -21.8736529 64.1477361, -21.873479 64.1476922, -21.8733847 64.1476596, -21.8733442 64.1476355, -21.873323 64.1473964)",0.09047842443289109,edge_7335,b24c2f22-17c3-4ef4-b646-305e1f844df0,"LINESTRING (-21.8744816 64.1479118, -21.873323 64.1473964)"
51,19,14218,legitimate,service,,"LINESTRING (-21.8755197 64.1481479, -21.874599 64.1479385, -21.8744816 64.1479118)",0.056971504954900984,edge_7334,b24c2f22-17c3-4ef4-b646-305e1f844df0,"LINESTRING (-21.8744816 64.1479118, -21.8755197 64.1481479)"
52,20,6653,legitimate,unclassified,,"LINESTRING (-21.6725883 64.1590137, -21.6727507 64.158945, -21.6730291 64.1588071, -21.6732052 64.1587018, -21.6734095 64.1584786, -21.6735248 64.1583967, -21.6736359 64.1583392, -21.6737345 64.1583083, -21.6738572 64.1582849, -21.6740289 64.1582693, -21.6801033 64.1578155)",0.41272489024274633,edge_18112,da36d8de-0e3c-4448-be75-441c99bf5d63,"LINESTRING (-21.6725883 64.1590137, -21.6801033 64.1578155)"
53,20,6869,legitimate,secondary,,"LINESTRING (-21.6725883 64.1590137, -21.674712 64.1598317)",0.1378097459567249,edge_18105,261c30ce-ab43-4331-ac48-2f7f120d4295,"LINESTRING (-21.6725883 64.1590137, -21.674712 64.1598317)"
54,20,18390,legitimate,secondary,,"LINESTRING (-21.6711424 64.1584985, -21.6725883 64.1590137)",0.09081657950803768,edge_18104,2487a08b-bbb2-4363-921b-8712a987738c,"LINESTRING (-21.6725883 64.1590137, -21.6711424 64.1584985)"
55,21,975,legitimate,service,,"LINESTRING (-21.8114825 64.1274865, -21.8116784 64.1274827, -21.8117726 64.1274776, -21.8119359 64.1274697)",0.022177615786998173,edge_5412,357b4aca-9e22-4320-91f4-632e4b62c627,"LINESTRING (-21.8114825 64.1274865, -21.8119359 64.1274697)"
56,21,3766,legitimate,service,,"LINESTRING (-21.8114825 64.1274865, -21.8114663 64.1273983)",0.009864087554969066,edge_5404,8581a9a9-f459-428d-bc2d-d3e898cbed83,"LINESTRING (-21.8114825 64.1274865, -21.8114663 64.1273983)"
57,21,14203,legitimate,service,,"LINESTRING (-21.8112712 64.1274923, -21.8114825 64.1274865)",0.010312432719129577,edge_5411,357b4aca-9e22-4320-91f4-632e4b62c627,"LINESTRING (-21.8114825 64.1274865, -21.8112712 64.1274923)"
58,22,7742,legitimate,service,,"LINESTRING (-21.8990082 64.1410378, -21.8999639 64.1412444, -21.900099 64.1412736)",0.05925516775306142,edge_8561,3551d97e-6e46-46ac-b8a2-e085ab897681,"LINESTRING (-21.8990082 64.1410378, -21.900099 64.1412736)"
59,22,13787,legitimate,service,,"LINESTRING (-21.8992008 64.140915, -21.8990082 64.1410378)",0.016593094625578123,edge_8520,34ff6d67-9996-44a2-9d99-c7764d34192e,"LINESTRING (-21.8990082 64.1410378, -21.8992008 64.140915)"
60,22,17014,legitimate,service,,"LINESTRING (-21.8987328 64.141163, -21.8987902 64.1411099, -21.8988375 64.1410791, -21.8989117 64.141053, -21.8990082 64.1410378)",0.020313118018439266,edge_8560,3551d97e-6e46-46ac-b8a2-e085ab897681,"LINESTRING (-21.8990082 64.1410378, -21.8987328 64.141163)"
61,23,14813,legitimate,service,,"LINESTRING (-21.8585701 64.1308059, -21.8585555 64.1308393, -21.8585474 64.1308774, -21.8585501 64.130899, -21.8585676 64.1309183, -21.859104 64.1311711)",0.05120978851157005,edge_3467,73b91636-e0b9-408f-8572-d0c8b9ad902d,"LINESTRING (-21.859104 64.1311711, -21.8585701 64.1308059)"
62,24,458,legitimate,primary,,"LINESTRING (-21.9390049 64.1383824, -21.939391 64.1385416, -21.9394285 64.138557, -21.9396751 64.1386596)",0.04494188733253859,edge_12385,9e3637aa-b998-4f3c-9cee-a7b86630e184,"LINESTRING (-21.9396751 64.1386596, -21.9390049 64.1383824)"
63,24,15454,legitimate,secondary,,"LINESTRING (-21.9396751 64.1386596, -21.9391067 64.138897)",0.03829231867537916,edge_12387,66b7340d-ca26-4fe8-bbc6-9c17bf68400f,"LINESTRING (-21.9396751 64.1386596, -21.9391067 64.138897)"
64,24,16507,legitimate,primary,,"LINESTRING (-21.9396751 64.1386596, -21.9398179 64.1387237)",0.009970173476153789,edge_12377,289afcab-5a14-43a5-a7a4-4143d2aaaae9,"LINESTRING (-21.9396751 64.1386596, -21.9398179 64.1387237)"
65,24,18483,legitimate,secondary,,"LINESTRING (-21.9399338 64.1385515, -21.9396751 64.1386596)",0.01743220147133938,edge_12378,835a0ffd-a00d-4df9-a664-9f04c43d7053,"LINESTRING (-21.9396751 64.1386596, -21.9399338 64.1385515)"
66,25,1762,legitimate,primary,,"LINESTRING (-21.830687 64.2425932, -21.8312911 64.2425427, -21.8317975 64.2425126, -21.8322677 64.2424935)",0.07753849604298253,edge_14205,018d68bf-bb33-42e6-b45a-891fd40e22b9,"LINESTRING (-21.8322677 64.2424935, -21.830687 64.2425932)"
67,25,7503,legitimate,tertiary,,"LINESTRING (-21.8322677 64.2424935, -21.8325174 64.2424857, -21.8331274 64.2424963, -21.8337337 64.2425262)",0.07135465367062224,edge_14299,16bcbfd8-e4c2-43ff-8dd6-51044343df12,"LINESTRING (-21.8322677 64.2424935, -21.8337337 64.2425262)"
68,25,17136,legitimate,tertiary,,"LINESTRING (-21.8322677 64.2424935, -21.8323139 64.2423959, -21.8325824 64.2418616)",0.07208061927304855,edge_14203,f33ebff4-1ec4-44c9-bf73-8c427e266fcf,"LINESTRING (-21.8322677 64.2424935, -21.8325824 64.2418616)"
69,26,11362,legitimate,service,,"LINESTRING (-21.825817 64.1017127, -21.825817 64.1015493, -21.8249537 64.1015499)",0.06030510555059601,edge_328,8fdb46cf-3b0e-43d2-9ee3-0ab202f948a1,"LINESTRING (-21.8249537 64.1015499, -21.825817 64.1017127)"
70,27,5975,legitimate,tertiary,,"LINESTRING (-21.7995091 64.1351055, -21.7987484 64.1349337)",0.04170088849071628,edge_5505,0306808c-2f1f-4dd5-9360-ceee966dd73a,"LINESTRING (-21.7987484 64.1349337, -21.7995091 64.1351055)"
71,27,8381,legitimate,tertiary,,"LINESTRING (-21.7987484 64.1349337, -21.7981863 64.1348067, -21.7979391 64.1347509, -21.7976219 64.1346778, -21.7967615 64.1344796)",0.10919809707010938,edge_5506,0306808c-2f1f-4dd5-9360-ceee966dd73a,"LINESTRING (-21.7987484 64.1349337, -21.7967615 64.1344796)"
72,27,11042,legitimate,service,,"LINESTRING (-21.7988699 64.1347832, -21.7987942 64.1348773, -21.7987484 64.1349337)",0.017790326483177736,edge_5508,ce246bbc-07a1-4161-94b7-d350ded8b451,"LINESTRING (-21.7987484 64.1349337, -21.7988699 64.1347832)"
73,28,2078,legitimate,residential,,"LINESTRING (-21.7923796 64.1496723, -21.7929 64.1498126, -21.7933292 64.1498828, -21.7937214 64.1499242, -21.7940563 64.1499287, -21.7943716 64.1499295)",0.10336557951491097,edge_18568,a73b6ee2-b3df-40ea-a5a7-d038a1fbfde2,"LINESTRING (-21.7923796 64.1496723, -21.7943716 64.1499295)"
74,29,9981,legitimate,residential,,"LINESTRING (-21.7269829 64.1697794, -21.7272691 64.1691925)",0.06689184181286777,edge_15768,889106cc-7857-4268-8687-f8d576d12487,"LINESTRING (-21.7269829 64.1697794, -21.7272691 64.1691925)"
75,30,2393,legitimate,service,,"LINESTRING (-21.6936055 64.1888497, -21.6938755 64.1896392)",0.08898649753868282,edge_16824,4f239735-a633-47cf-94e4-603c57d9bf79,"LINESTRING (-21.6936055 64.1888497, -21.6938755 64.1896392)"
76,30,10217,legitimate,unclassified,,"LINESTRING (-21.6942548 64.1886523, -21.693795 64.1887895, -21.6936055 64.1888497)",0.0384756929916384,edge_16821,3a2d18f7-5a97-4594-a78a-7f81ba80945e,"LINESTRING (-21.6936055 64.1888497, -21.6942548 64.1886523)"
77,30,10886,legitimate,unclassified,,"LINESTRING (-21.6936055 64.1888497, -21.692873 64.1890301)",0.04088806565813337,edge_16822,3a2d18f7-5a97-4594-a78a-7f81ba80945e,"LINESTRING (-21.6936055 64.1888497, -21.692873 64.1890301)"
78,31,17467,legitimate,service,,"LINESTRING (-21.8769927 64.1362209, -21.8772222 64.1361429, -21.877278 64.1361439)",0.016878970089716547,edge_2666,14730f1b-e694-4dae-acbb-cc7101812b9f,"LINESTRING (-21.8769927 64.1362209, -21.877278 64.1361439)"
79,32,7334,legitimate,residential,,"LINESTRING (-21.6716339 64.1700819, -21.671878 64.1702247, -21.6719441 64.1702948, -21.6719404 64.1703601, -21.6719162 64.1704197, -21.6715542 64.1707189, -21.6714925 64.1707504, -21.6713896 64.1707563, -21.6712477 64.1707305, -21.6710348 64.1706797, -21.6707966 64.1706164, -21.6706411 64.1705516, -21.6703319 64.1704323, -21.6699956 64.1703006, -21.6695023 64.1701592, -21.6688957 64.1700444, -21.6682384 64.1699303, -21.6679845 64.1699151)",0.2828076529338929,edge_16548,01bfb94d-32f2-4bea-acbc-a073b06155c7,"LINESTRING (-21.6679845 64.1699151, -21.6716339 64.1700819)"
80,32,7730,legitimate,residential,,"LINESTRING (-21.6679845 64.1699151, -21.6680228 64.1699784, -21.6680709 64.1700404, -21.6681285 64.1701009, -21.6682225 64.170147, -21.6683239 64.17019, -21.6684321 64.1702297)",0.042530040730505314,edge_16545,1883051f-6003-48c2-aa49-4f08b346d131,"LINESTRING (-21.6679845 64.1699151, -21.6684321 64.1702297)"
81,32,8170,legitimate,residential,,"LINESTRING (-21.6680136 64.1694384, -21.66797 64.169518, -21.6679421 64.1695989, -21.66793 64.1696805, -21.6679339 64.1697623, -21.6679537 64.1698436, -21.6679845 64.1699151)",0.05370537788845076,edge_16532,0c857b22-d2dc-40c0-b98c-af8e35e28a88,"LINESTRING (-21.6679845 64.1699151, -21.6680136 64.1694384)"
82,33,9612,legitimate,tertiary,,"LINESTRING (-21.8244498 64.1109893, -21.8243367 64.1110304, -21.8242343 64.1110692, -21.8241406 64.1110896, -21.8240443 64.1110933, -21.8239615 64.1110874, -21.8238922 64.1110689, -21.823773 64.1110168)",0.039846119071002675,edge_1008,63c080f4-55ad-4996-a0e3-abb5c10a2ffd,"LINESTRING (-21.823773 64.1110168, -21.8244498 64.1109893)"
83,33,17072,legitimate,secondary,,"LINESTRING (-21.8237589 64.1112025, -21.823773 64.1110168)",0.02071306436672201,edge_1014,966e7765-bdf1-442d-b779-3a159d7241de,"LINESTRING (-21.823773 64.1110168, -21.8237589 64.1112025)"
84,33,17591,legitimate,secondary,,"LINESTRING (-21.823773 64.1110168, -21.8237455 64.110711, -21.8236945 64.1103208, -21.8236337 64.1100773, -21.8235813 64.109994, -21.8234867 64.1099416, -21.8233938 64.109918, -21.8232755 64.1099062, -21.8230592 64.109901, -21.8224306 64.1098932, -21.821231 64.1098995, -21.8211991 64.1098997, -21.8210131 64.1099008)",0.24351846595678617,edge_1050,f19f114d-8fda-4597-96b9-6b895608e016,"LINESTRING (-21.823773 64.1110168, -21.8210131 64.1099008)"
85,34,11379,legitimate,service,,"LINESTRING (-21.8779711 64.1359179, -21.8778283 64.1359644)",0.008673101212699671,edge_2658,44239d2e-f514-4fa2-a713-d7d9b639c243,"LINESTRING (-21.8778283 64.1359644, -21.8779711 64.1359179)"
86,34,16626,legitimate,service,,"LINESTRING (-21.8778283 64.1359644, -21.8783961 64.1362903)",0.04565496101847618,edge_2659,44239d2e-f514-4fa2-a713-d7d9b639c243,"LINESTRING (-21.8778283 64.1359644, -21.8783961 64.1362903)"
87,34,17467,legitimate,service,,"LINESTRING (-21.8778283 64.1359644, -21.877753 64.135983, -21.8777318 64.13599, -21.8774506 64.1360854, -21.877278 64.1361439)",0.033482060601726316,edge_2663,9e20ccfd-b0b6-486c-86e6-64b978284cc2,"LINESTRING (-21.8778283 64.1359644, -21.877278 64.1361439)"
88,35,10193,legitimate,track,,"LINESTRING (-21.8608075 64.2493237, -21.8607788 64.2490638, -21.8607246 64.2488992, -21.8605756 64.2487021)",0.07067506403337118,edge_14373,f4af36da-64fb-4afe-80cf-a93045246863,"LINESTRING (-21.8608075 64.2493237, -21.8605756 64.2487021)"
89,35,10473,legitimate,track,,"LINESTRING (-21.8619883 64.2488955, -21.8616041 64.2489651, -21.8612648 64.2490767, -21.8610452 64.2491753, -21.8608075 64.2493237)",0.07628047334389121,edge_14375,95736a1d-0ec2-4539-9265-b6ab415f5a89,"LINESTRING (-21.8608075 64.2493237, -21.8619883 64.2488955)"
