,stnode,endnode,one_way,id,key,infra_type,Wkt,length,osm_id,geometry
15,13,1501,False,986,edge_986,residential,"LINESTRING (-21.8622656 64.1445252, -21.8617862 64.1450491)",0.06289382719107421,5131066,"LINESTRING (-21.8622656 64.1445252, -21.8617862 64.1450491)"
16,13,10418,False,994,edge_994,residential,"LINESTRING (-21.8622656 64.1445252, -21.8606644 64.1442547)",0.08357483379587206,5131082,"LINESTRING (-21.8622656 64.1445252, -21.8606644 64.1442547)"
17,14,9717,False,7186,edge_7186,residential,"LINESTRING (-21.7807228 64.1469109, -21.7809737 64.1468579)",0.01356665938174245,91903270,"LINESTRING (-21.7807228 64.1469109, -21.7809737 64.1468579)"
18,15,5957,False,3364,edge_3364,secondary,"LINESTRING (-21.6725883 64.1590137, -21.673567 64.1593658, -21.674712 64.1598317)",0.13787320167776768,26890795,"LINESTRING (-21.6725883 64.1590137, -21.674712 64.1598317)"
19,15,5771,False,3367,edge_3367,tertiary,"LINESTRING (-21.6725883 64.1590137, -21.6727992 64.1589239, -21.6730291 64.1588071, -21.67313 64.1587539, -21.6732483 64.1586567, -21.6734095 64.1584786, -21.6735248 64.1583967, -21.6736359 64.1583392, -21.6737345 64.1583083, -21.6738572 64.1582849, -21.6740289 64.1582693, -21.675106 64.1581884, -21.6755095 64.1581556, -21.6770535 64.1580484, -21.6784289 64.1579408, -21.6789966 64.157904, -21.6796691 64.1578598, -21.6801033 64.1578155)",0.412783872486636,26890827,"LINESTRING (-21.6725883 64.1590137, -21.6801033 64.1578155)"
20,16,7389,False,8260,edge_8260,tertiary,"LINESTRING (-21.8744816 64.1479118, -21.8745346 64.1478674, -21.8745888 64.147808, -21.8746236 64.1477698, -21.8746509 64.1477382, -21.8747125 64.1476667, -21.8747835 64.1475415, -21.8748004 64.1474115, -21.874792 64.1472201, -21.8747824 64.1469708)",0.10760503628541732,107241646,"LINESTRING (-21.8744816 64.1479118, -21.8747824 64.1469708)"
21,16,7935,False,10081,edge_10081,service,"LINESTRING (-21.8744816 64.1479118, -21.8743404 64.1478804, -21.8736529 64.1477361, -21.873479 64.1476922, -21.8733847 64.1476596, -21.8733442 64.1476355, -21.873323 64.1473964)",0.09048005859391417,136700634,"LINESTRING (-21.8744816 64.1479118, -21.873323 64.1473964)"
22,17,8233,False,1907,edge_1907,residential,"LINESTRING (-21.7942235 64.1205886, -21.7938568 64.1205944)",0.01787759502671419,10311277,"LINESTRING (-21.7942235 64.1205886, -21.7938568 64.1205944)"
23,17,5717,False,6052,edge_6052,service,"LINESTRING (-21.7942235 64.1205886, -21.7942104 64.1206513, -21.7941959 64.1207215, -21.7929538 64.1207473)",0.07546052880826541,59581700,"LINESTRING (-21.7942235 64.1205886, -21.7929538 64.1207473)"
24,18,11314,True,12034,edge_12034,tertiary,"LINESTRING (-21.7597657 64.1413432, -21.7598475 64.1413431)",0.003982401089270525,168995681,"LINESTRING (-21.7597657 64.1413432, -21.7598475 64.1413431)"
25,19,829,False,6039,edge_6039,service,"LINESTRING (-21.8114825 64.1274865, -21.8116784 64.1274827, -21.8117726 64.1274776, -21.8119359 64.1274697)",0.022177615786998173,59536522,"LINESTRING (-21.8114825 64.1274865, -21.8119359 64.1274697)"
26,19,3242,False,6045,edge_6045,service,"LINESTRING (-21.8114825 64.1274865, -21.8114663 64.1273983)",0.009864087554969066,59536526,"LINESTRING (-21.8114825 64.1274865, -21.8114663 64.1273983)"
27,20,6542,False,17458,edge_17458,secondary,"LINESTRING (-21.8322677 64.2424935, -21.8325174 64.2424857, -21.8331274 64.2424963, -21.8337337 64.2425262)",0.07135465367062224,614040150,"LINESTRING (-21.8322677 64.2424935, -21.8337337 64.2425262)"
28,22,7276,False,16663,edge_16663,tertiary,"LINESTRING (-21.7987484 64.1349337, -21.7981863 64.1348067, -21.7979391 64.1347509, -21.7976219 64.1346778, -21.7967615 64.1344796)",0.10919809707010938,563742002,"LINESTRING (-21.7987484 64.1349337, -21.7967615 64.1344796)"
29,23,14478,False,18337,edge_18337,service,"LINESTRING (-21.791848 64.1199545, -21.7913361 64.1204889)",0.06458441770945247,670828007,"LINESTRING (-21.791848 64.1199545, -21.7913361 64.1204889)"
30,23,3408,False,18345,edge_18345,service,"LINESTRING (-21.791848 64.1199545, -21.7915548 64.1199039, -21.7914527 64.1199039, -21.7914046 64.1199379, -21.7912866 64.1200272, -21.7908693 64.1204298, -21.7908403 64.1204955)",0.0930164898737373,670828010,"LINESTRING (-21.791848 64.1199545, -21.7908403 64.1204955)"
31,24,1793,False,7083,edge_7083,residential,"LINESTRING (-21.7923796 64.1496723, -21.7929 64.1498126, -21.7933292 64.1498828, -21.7937214 64.1499242, -21.7940563 64.1499287, -21.7943716 64.1499295)",0.10336557951491097,91899189,"LINESTRING (-21.7923796 64.1496723, -21.7943716 64.1499295)"
32,25,8608,False,4760,edge_4760,residential,"LINESTRING (-21.7269829 64.1697794, -21.7272691 64.1691925)",0.06689184181286777,34898572,"LINESTRING (-21.7269829 64.1697794, -21.7272691 64.1691925)"
33,26,9394,False,14158,edge_14158,tertiary,"LINESTRING (-21.6936055 64.1888497, -21.692873 64.1890301)",0.04088806565813337,256611200,"LINESTRING (-21.6936055 64.1888497, -21.692873 64.1890301)"
34,26,2097,False,14806,edge_14806,service,"LINESTRING (-21.6936055 64.1888497, -21.6938755 64.1896392)",0.08898649753868282,338067096,"LINESTRING (-21.6936055 64.1888497, -21.6938755 64.1896392)"
35,27,8853,True,11059,edge_11059,secondary,"LINESTRING (-21.8143015 64.1327351, -21.8143497 64.132389, -21.8143731 64.1322002)",0.05973249243146593,157874916,"LINESTRING (-21.8143015 64.1327351, -21.8143731 64.1322002)"
36,27,8853,True,11065,edge_11065,service,"LINESTRING (-21.8143015 64.1327351, -21.8143836 64.1326578, -21.8144184 64.1324513, -21.8144243 64.1324083, -21.8144334 64.1323384, -21.8143731 64.1322002)",0.060873564235445224,157874920,"LINESTRING (-21.8143015 64.1327351, -21.8143731 64.1322002)"
37,28,10806,False,10622,edge_10622,service,"LINESTRING (-21.8778283 64.1359644, -21.878405 64.1362873)",0.04565455173522537,150229400,"LINESTRING (-21.8778283 64.1359644, -21.878405 64.1362873)"
38,28,12267,False,10627,edge_10627,service,"LINESTRING (-21.8778283 64.1359644, -21.8777317 64.1359737, -21.8777105 64.1359807, -21.8768922 64.1362522, -21.8769968 64.1363516)",0.06834404829148193,150229413,"LINESTRING (-21.8778283 64.1359644, -21.8769968 64.1363516)"
39,29,4008,True,11476,edge_11476,secondary,"LINESTRING (-21.823773 64.1110168, -21.8237455 64.110711, -21.8236945 64.1103208)",0.07768671975984368,162563155,"LINESTRING (-21.823773 64.1110168, -21.8236945 64.1103208)"
40,30,8786,False,5442,edge_5442,track,"LINESTRING (-21.8608075 64.2493237, -21.8607788 64.2490638, -21.8607246 64.2488992, -21.8605756 64.2487021)",0.07067506403337118,48319314,"LINESTRING (-21.8608075 64.2493237, -21.8605756 64.2487021)"
41,31,14605,False,11250,edge_11250,track,"LINESTRING (-21.7359014 64.1444096, -21.7354841 64.1447928, -21.7353983 64.1450081, -21.7352588 64.1451671, -21.7350657 64.1453543, -21.7349906 64.1456537, -21.7348082 64.1459298, -21.7344219 64.14629, -21.7342503 64.1466035, -21.733864 64.1469123, -21.7336387 64.1470479, -21.7334027 64.1471228)",0.33152049488815416,159655122,"LINESTRING (-21.7359014 64.1444096, -21.7334027 64.1471228)"
42,31,6220,False,11252,edge_11252,track,"LINESTRING (-21.7359014 64.1444096, -21.7353983 64.1444606, -21.7346215 64.1445182, -21.7342932 64.1445636, -21.734128 64.1446352, -21.7338276 64.1447802, -21.7336988 64.1448504, -21.7332847 64.1448537, -21.7331881 64.1448864, -21.7330808 64.1449098)",0.15536511376458714,159655125,"LINESTRING (-21.7359014 64.1444096, -21.7330808 64.1449098)"
43,32,4313,False,3333,edge_3333,residential,"LINESTRING (-21.8787553 64.1201683, -21.8798927 64.1202161)",0.055671386357277586,26763196,"LINESTRING (-21.8787553 64.1201683, -21.8798927 64.1202161)"
44,33,4131,False,3744,edge_3744,residential,"LINESTRING (-21.8913929 64.128614, -21.891552 64.1285863, -21.892238 64.1284641, -21.8923031 64.1284553)",0.0477442257500972,27933094,"LINESTRING (-21.8913929 64.128614, -21.8923031 64.1284553)"
45,33,8828,False,3786,edge_3786,residential,"LINESTRING (-21.8913929 64.128614, -21.8913123 64.1284729, -21.8912066 64.1283294, -21.890846 64.1279498, -21.8907231 64.1278072)",0.09582198773353301,27992591,"LINESTRING (-21.8913929 64.128614, -21.8907231 64.1278072)"
46,34,61,False,558,edge_558,residential,"LINESTRING (-21.8805023 64.1467319, -21.880511 64.1468806, -21.8805132 64.1469202, -21.880601 64.1470888, -21.8807455 64.1471897, -21.8811466 64.1474447)",0.08802546829872224,5067004,"LINESTRING (-21.8805023 64.1467319, -21.8811466 64.1474447)"
47,34,13590,False,17601,edge_17601,tertiary,"LINESTRING (-21.8805023 64.1467319, -21.8803108 64.1467283, -21.8801152 64.1467264, -21.8796779 64.1467183, -21.8795731 64.1467177)",0.04525938173430079,625145784,"LINESTRING (-21.8805023 64.1467319, -21.8795731 64.1467177)"
48,35,8302,False,7345,edge_7345,service,"LINESTRING (-21.8831613 64.138599, -21.8834283 64.1386447, -21.8836936 64.1386904, -21.8839183 64.1387139, -21.8841667 64.1387294, -21.8844252 64.1387419, -21.8849845 64.1387478)",0.09121780412204952,92515210,"LINESTRING (-21.8831613 64.138599, -21.8849845 64.1387478)"
49,35,10364,False,19143,edge_19143,service,"LINESTRING (-21.8831613 64.138599, -21.8827439 64.13911, -21.882741 64.1391187, -21.8827472 64.139128, -21.882761 64.1391346, -21.8832441 64.1392159)",0.08874586680152041,681220225,"LINESTRING (-21.8831613 64.138599, -21.8832441 64.1392159)"
50,36,13466,False,13515,edge_13515,service,"LINESTRING (-21.5954251 64.167041, -21.5955217 64.1671322, -21.5956826 64.167214, -21.596102 64.1673767)",0.05051362674807824,222342682,"LINESTRING (-21.5954251 64.167041, -21.596102 64.1673767)"
51,37,795,False,1997,edge_1997,unclassified,"LINESTRING (-21.8232509 64.1276226, -21.8232403 64.127591, -21.8231143 64.1272141, -21.8230971 64.1271631)",0.05176964573468074,10311722,"LINESTRING (-21.8232509 64.1276226, -21.8230971 64.1271631)"
52,37,9180,False,12069,edge_12069,service,"LINESTRING (-21.8232509 64.1276226, -21.8234159 64.1276113, -21.8235927 64.1275992)",0.01685168127796585,170709339,"LINESTRING (-21.8232509 64.1276226, -21.8235927 64.1275992)"
53,38,1688,True,14780,edge_14780,tertiary,"LINESTRING (-21.8624353 64.1305479, -21.8624112 64.1305651, -21.8623616 64.1305951, -21.8617561 64.1309094, -21.8616372 64.1309683)",0.06092483625131753,329592076,"LINESTRING (-21.8624353 64.1305479, -21.8616372 64.1309683)"
54,39,15215,False,1476,edge_1476,secondary,"LINESTRING (-21.6501467 64.1288175, -21.6496912 64.1285629, -21.6492867 64.1283603, -21.6477696 64.1276858)",0.17142079555257148,7767607,"LINESTRING (-21.6501467 64.1288175, -21.6477696 64.1276858)"
55,39,2647,False,11500,edge_11500,service,"LINESTRING (-21.6501467 64.1288175, -21.6497569 64.1289609)",0.02481960581712875,162696434,"LINESTRING (-21.6501467 64.1288175, -21.6497569 64.1289609)"
56,40,2779,False,12336,edge_12336,service,"LINESTRING (-21.8794627 64.1375293, -21.8792374 64.1375668, -21.8790389 64.1374755)",0.025775642819949235,177820446,"LINESTRING (-21.8794627 64.1375293, -21.8790389 64.1374755)"
57,40,9962,False,12338,edge_12338,service,"LINESTRING (-21.8794627 64.1375293, -21.8797834 64.137417, -21.8800365 64.1373283, -21.8801476 64.1372894)",0.04274776873184925,177820447,"LINESTRING (-21.8794627 64.1375293, -21.8801476 64.1372894)"
58,41,52,False,12859,edge_12859,service,"LINESTRING (-21.9471817 64.1544147, -21.9469491 64.1542561)",0.020993324845424058,194824404,"LINESTRING (-21.9471817 64.1544147, -21.9469491 64.1542561)"
59,41,1974,False,12865,edge_12865,service,"LINESTRING (-21.9471817 64.1544147, -21.9475318 64.1543056)",0.020932392197030043,194824429,"LINESTRING (-21.9471817 64.1544147, -21.9475318 64.1543056)"
60,43,546,False,14340,edge_14340,residential,"LINESTRING (-21.6613151 64.2948372, -21.6615738 64.2949332)",0.016474698584728678,289940137,"LINESTRING (-21.6613151 64.2948372, -21.6615738 64.2949332)"
61,44,11178,True,8221,edge_8221,primary_link,"LINESTRING (-21.8949001 64.1472921, -21.894443 64.1473016, -21.8941534 64.1472969, -21.8939066 64.1472759, -21.8936706 64.1472244, -21.8934438 64.1471646, -21.893253 64.1470903)",0.0868006197260059,107193348,"LINESTRING (-21.8949001 64.1472921, -21.893253 64.1470903)"
62,44,6656,True,16522,edge_16522,primary,"LINESTRING (-21.8949001 64.1472921, -21.8942991 64.1473703, -21.8937989 64.147456, -21.8936346 64.1474842)",0.06527123831321542,537243777,"LINESTRING (-21.8949001 64.1472921, -21.8936346 64.1474842)"
63,46,12862,True,10734,edge_10734,service,"LINESTRING (-21.7569518 64.1267414, -21.7570702 64.1267871, -21.7572311 64.1268035, -21.757451 64.1268035, -21.7574979 64.1267994, -21.7576388 64.1267871, -21.7577997 64.1267483)",0.04473475485298162,150800425,"LINESTRING (-21.7569518 64.1267414, -21.7577997 64.1267483)"
64,46,11059,False,10737,edge_10737,tertiary,"LINESTRING (-21.7569518 64.1267414, -21.7568161 64.1267403)",0.00661108225051972,150800430,"LINESTRING (-21.7569518 64.1267414, -21.7568161 64.1267403)"
65,47,1709,False,3670,edge_3670,residential,"LINESTRING (-21.704352 64.1678828, -21.7043351 64.1678637, -21.7041847 64.1676803)",0.02399709037314281,27517864,"LINESTRING (-21.704352 64.1678828, -21.7041847 64.1676803)"
66,47,6784,False,4824,edge_4824,service,"LINESTRING (-21.704352 64.1678828, -21.7045638 64.1678499, -21.7051204 64.1677618)",0.039733402559316115,35185793,"LINESTRING (-21.704352 64.1678828, -21.7051204 64.1677618)"
67,48,2189,False,13857,edge_13857,tertiary,"LINESTRING (-21.7108994 64.2083654, -21.7111382 64.2083466, -21.7117283 64.2082539)",0.042251415771561114,231655570,"LINESTRING (-21.7108994 64.2083654, -21.7117283 64.2082539)"
68,48,13864,False,14168,edge_14168,track,"LINESTRING (-21.7108994 64.2083654, -21.7110014 64.2084295, -21.7111923 64.208475, -21.7121832 64.2086104)",0.06969979762777848,256611213,"LINESTRING (-21.7108994 64.2083654, -21.7121832 64.2086104)"
69,49,2168,False,17984,edge_17984,tertiary,"LINESTRING (-21.6533997 64.200762, -21.6530468 64.2008932, -21.6527956 64.2010165, -21.6506693 64.2023142, -21.6494874 64.203069, -21.6459287 64.2052909, -21.6451131 64.2057838, -21.6449657 64.2058983, -21.6448532 64.2060455, -21.6448033 64.2061724, -21.6443917 64.208195, -21.6443452 64.2083144)",0.9764844963135367,662661652,"LINESTRING (-21.6533997 64.200762, -21.6443452 64.2083144)"
70,50,12769,False,7620,edge_7620,service,"LINESTRING (-21.7999566 64.1159444, -21.7999969 64.1158863)",0.0067680971748208295,101324497,"LINESTRING (-21.7999566 64.1159444, -21.7999969 64.1158863)"
71,50,7085,False,7852,edge_7852,service,"LINESTRING (-21.7999566 64.1159444, -21.8006125 64.1160467)",0.03393490488576353,104750967,"LINESTRING (-21.7999566 64.1159444, -21.8006125 64.1160467)"
72,51,9079,False,7699,edge_7699,service,"LINESTRING (-21.8182475 64.1051017, -21.8178816 64.1050998)",0.017838101343422858,101585463,"LINESTRING (-21.8182475 64.1051017, -21.8178816 64.1050998)"
73,51,11327,False,15571,edge_15571,service,"LINESTRING (-21.8182475 64.1051017, -21.8188275 64.1051013)",0.028273796065630283,468609863,"LINESTRING (-21.8182475 64.1051017, -21.8188275 64.1051013)"
74,53,15335,True,2439,edge_2439,tertiary,"LINESTRING (-21.9000355 64.1289201, -21.8998807 64.1288926, -21.8997915 64.1288784, -21.8994727 64.1288294)",0.02922353163960601,23264292,"LINESTRING (-21.9000355 64.1289201, -21.8994727 64.1288294)"
75,53,10460,True,19309,edge_19309,primary,"LINESTRING (-21.9000355 64.1289201, -21.9000327 64.1290017)",0.009097736094830592,681746045,"LINESTRING (-21.9000355 64.1289201, -21.9000327 64.1290017)"
76,54,6463,True,9002,edge_9002,residential,"LINESTRING (-21.9097358 64.1357605, -21.909595 64.1357393, -21.9090802 64.1356614, -21.9069126 64.1353333, -21.9065469 64.135278)",0.16433448043991414,112793775,"LINESTRING (-21.9097358 64.1357605, -21.9065469 64.135278)"
77,54,1442,True,17540,edge_17540,tertiary,"LINESTRING (-21.9097358 64.1357605, -21.9091725 64.1364362)",0.08016521621198881,619577663,"LINESTRING (-21.9097358 64.1357605, -21.9091725 64.1364362)"
78,55,9362,False,13691,edge_13691,service,"LINESTRING (-21.6952622 64.116092, -21.6952396 64.1161747, -21.6954231 64.1162606, -21.6961634 64.1166025, -21.6969144 64.1168976, -21.6972566 64.1169522, -21.6976225 64.1170475, -21.6980946 64.1171973, -21.698867 64.1175111, -21.6990172 64.117572, -21.6991353 64.1178858, -21.6993541 64.118199)",0.324329363346594,222355495,"LINESTRING (-21.6952622 64.116092, -21.6993541 64.118199)"
79,56,12828,False,15856,edge_15856,track,"LINESTRING (-21.8114427 64.1439209, -21.8118833 64.1439634, -21.8122943 64.1440325, -21.8126224 64.1441389, -21.8129225 64.1441791, -21.8133786 64.1442681, -21.8138147 64.1444984, -21.8140868 64.1445455, -21.8144429 64.1446101, -21.814907 64.1447462, -21.8153231 64.1448247, -21.8154792 64.1448526, -21.8160113 64.144809, -21.8164554 64.1448805, -21.8166915 64.1448805, -21.8171036 64.1448578, -21.8172521 64.1448698)",0.3151785589262575,497782840,"LINESTRING (-21.8114427 64.1439209, -21.8172521 64.1448698)"
80,58,673,True,16238,edge_16238,secondary,"LINESTRING (-21.8813634 64.1230408, -21.8808171 64.1229762, -21.8807596 64.1229698)",0.03046160989595117,516672818,"LINESTRING (-21.8813634 64.1230408, -21.8807596 64.1229698)"
81,59,1228,False,17119,edge_17119,service,"LINESTRING (-21.7977466 64.1217828, -21.7974194 64.1217889)",0.015955243184180297,586636531,"LINESTRING (-21.7977466 64.1217828, -21.7974194 64.1217889)"
82,61,12056,False,559,edge_559,residential,"LINESTRING (-21.8811466 64.1474447, -21.8817568 64.1477786)",0.047620132179832644,5067004,"LINESTRING (-21.8811466 64.1474447, -21.8817568 64.1477786)"
83,62,10190,False,3851,edge_3851,service,"LINESTRING (-21.7941389 64.1125327, -21.794456 64.1125802)",0.01633584941139098,28726188,"LINESTRING (-21.7941389 64.1125327, -21.794456 64.1125802)"
84,62,10708,False,7621,edge_7621,service,"LINESTRING (-21.7941389 64.1125327, -21.7942082 64.1124298)",0.011958040973853598,101358730,"LINESTRING (-21.7941389 64.1125327, -21.7942082 64.1124298)"
85,63,8226,False,15099,edge_15099,service,"LINESTRING (-21.7528169 64.2136184, -21.752774 64.2135601, -21.7528036 64.2134862, -21.7529066 64.2133698, -21.7540698 64.2125201)",0.1393819168047267,376848726,"LINESTRING (-21.7528169 64.2136184, -21.7540698 64.2125201)"
86,64,8446,True,16905,edge_16905,secondary,"LINESTRING (-21.9488915 64.1423387, -21.9489619 64.142271, -21.949934 64.1414045)",0.1158559293626039,582385443,"LINESTRING (-21.9488915 64.1423387, -21.949934 64.1414045)"
87,65,6813,False,4903,edge_4903,residential,"LINESTRING (-21.8912411 64.1233502, -21.8914269 64.1232173, -21.8916656 64.1230465, -21.8917423 64.1229916)",0.046843211146272545,38291219,"LINESTRING (-21.8912411 64.1233502, -21.8917423 64.1229916)"
88,66,3117,False,3445,edge_3445,residential,"LINESTRING (-21.7180142 64.1655815, -21.7168387 64.1655006)",0.057885612806410434,26966071,"LINESTRING (-21.7180142 64.1655815, -21.7168387 64.1655006)"
89,66,12280,False,13909,edge_13909,residential,"LINESTRING (-21.7180142 64.1655815, -21.7182292 64.1650152)",0.06399143664753086,235691957,"LINESTRING (-21.7180142 64.1655815, -21.7182292 64.1650152)"
90,67,14009,False,14029,edge_14029,service,"LINESTRING (-21.6973399 64.335563, -21.7004828 64.3356159)",0.1520548792547053,243681908,"LINESTRING (-21.6973399 64.335563, -21.7004828 64.3356159)"
91,69,10652,False,4560,edge_4560,residential,"LINESTRING (-21.7901494 64.1431497, -21.7912602 64.1431904)",0.05426511542573554,33363022,"LINESTRING (-21.7901494 64.1431497, -21.7912602 64.1431904)"
92,70,6133,False,8514,edge_8514,service,"LINESTRING (-21.861197 64.1507588, -21.8595931 64.1496279, -21.8578149 64.1484183)",0.30851242182339955,108336313,"LINESTRING (-21.861197 64.1507588, -21.8578149 64.1484183)"
93,71,15416,False,15496,edge_15496,residential,"LINESTRING (-21.4512236 64.2848578, -21.4515401 64.2848996, -21.4517949 64.2849415, -21.4521248 64.2849415, -21.4527122 64.2849136, -21.4532594 64.2848624, -21.4539434 64.2847891, -21.4544932 64.2847041, -21.4549921 64.2846273, -21.455719 64.2845656, -21.4563842 64.2845284, -21.4566463 64.2844817)",0.27102116872820503,441429759,"LINESTRING (-21.4512236 64.2848578, -21.4566463 64.2844817)"
94,71,71,False,15501,edge_15501,residential,"LINESTRING (-21.4512236 64.2848578, -21.4509795 64.2848566, -21.4506067 64.2848496, -21.4505048 64.2848962, -21.4505343 64.2849555, -21.4506925 64.2849637, -21.4510573 64.2848868, -21.4512236 64.2848578)",0.07985881607644948,441429761,"LINESTRING (-21.4512236 64.2848578, -21.4512236 64.2848578)"
95,73,5647,False,7216,edge_7216,service,"LINESTRING (-21.7669791 64.1209088, -21.7669255 64.1207671, -21.7668611 64.1206711, -21.7667806 64.1205903, -21.7667189 64.1205353, -21.7665795 64.1204744, -21.76644 64.1204288, -21.7662791 64.1204042, -21.7660537 64.1203936, -21.7657292 64.1203971, -21.765402 64.1204451, -21.765233 64.1204838, -21.7650694 64.1205529, -21.7649326 64.1206278, -21.7646885 64.1207706, -21.7645678 64.1208256, -21.7643613 64.1208994, -21.7641172 64.1209521, -21.7638999 64.1209884, -21.7637658 64.120993, -21.7636049 64.1209778, -21.7634225 64.1209216, -21.7632133 64.1208479, -21.7630899 64.1208081, -21.7628378 64.1207402, -21.7627089 64.1207202, -21.7627016 64.1207191, -21.7625213 64.1206887, -21.7623174 64.1206524, -21.7621192 64.120632, -21.7620894 64.120629, -21.7619545 64.1206285, -21.7617864 64.1206278, -21.7615235 64.1206395, -21.761258 64.1206617, -21.7608959 64.1206676, -21.7604721 64.120677, -21.7600617 64.1206945, -21.7596513 64.1207273, -21.7594448 64.1207402, -21.7590827 64.1207402, -21.7589298 64.1207367, -21.7587179 64.1207612, -21.7585301 64.1208092, -21.7582405 64.1209064, -21.7580554 64.120979)",0.5159463583815875,91908230,"LINESTRING (-21.7669791 64.1209088, -21.7580554 64.120979)"
96,73,3477,False,14126,edge_14126,service,"LINESTRING (-21.7669791 64.1209088, -21.7669684 64.1209568, -21.766963 64.1210094, -21.7669925 64.1210609, -21.7670944 64.1211312, -21.7676792 64.1214297, -21.7682853 64.1217318, -21.7691329 64.1221192, -21.7700422 64.1225653, -21.7704687 64.122776, -21.7708254 64.1229305, -21.7711634 64.1230546, -21.7715468 64.1232034)",0.34370422650313903,245544784,"LINESTRING (-21.7669791 64.1209088, -21.7715468 64.1232034)"
97,74,7367,False,7490,edge_7490,residential,"LINESTRING (-21.997992 64.1563824, -21.9993832 64.1566364)",0.0733764655446021,97034937,"LINESTRING (-21.997992 64.1563824, -21.9993832 64.1566364)"
98,75,8053,False,14767,edge_14767,service,"LINESTRING (-21.9345744 64.1372931, -21.9345326 64.1372872, -21.9344701 64.1372775)",0.005368572665333537,321424996,"LINESTRING (-21.9345744 64.1372931, -21.9344701 64.1372775)"
99,76,6099,True,15578,edge_15578,primary,"LINESTRING (-21.9598654 64.1508313, -21.9598119 64.1508047)",0.003946233635800783,471052245,"LINESTRING (-21.9598654 64.1508313, -21.9598119 64.1508047)"
