,m03_01,m03_02,m05_01,m08_02,m10,m01_01,m01_02,m02_01,m02_02,m04_02,m06_01,m07_01,m07_02,m07_03,m09_01,osmid,rep
22,0,0.960685413,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,14431518,0
23,0.029761905,1.006349799,0,0.019039769,0,1,1,1.006112716,0.004076987,0.027757217,1.002367271,0.008588852,307038.7421,1042460.316,0,215414396,0
24,0,0,0,0,0.001689181,1,1,1,1.72E-15,0,1,0,0,0,0,16441644,0
25,0,1.000139661,13,0,0,1.000000445,1,1,1.72E-15,0,1,0,0,0,0,2258622587,0
26,0,1.003803467,1,0.002599171,0.09811104,1,1,1,1.72E-15,0,1,0,0,0,0,1093115415,0
27,0.040674603,0.994826563,0,0.018760259,0.003000582,1.005052974,1.004634994,1.003178177,0.003475026,0.097335307,1.001225139,0.002121564,119429.2794,294169.7052,0,1229512286,0
28,0,1.000007608,7,0.023994191,0,1.000435809,1,1,1.72E-15,0,1,0,0,0,0,2307022435,0
29,0.03125,1.009085984,5,0.026243351,0,1.055777968,1.071693449,1.007355863,0.01772437,0.024796447,1.007506076,0.01042649,1175103.87,1496587.537,0,78737879,0
30,0.067460317,1.008687333,7,0.054284017,0.015038577,1.00072117,1.001154734,1.004239425,0.003294726,0.057364915,1.002804088,0.005616021,322414.803,600842.0327,0,1129511375,0
31,0,1.000052096,2,0.024226822,0.243806533,1,1,1,1.72E-15,0,1,0,0,0,0,1056310355,0
32,0.084325397,1.057212907,9,0.056767599,0.003981968,1,1,1.009807693,0.006628873,0.076609919,1.004477295,0.010328228,196639.3915,854196.2775,0,25514641,0
33,0,1.001783773,0,0,0.000236647,1,1,1,1.72E-15,0,1,0,0,0,0,288325541,0
34,0.016865079,1.006334339,5,0.005346218,0,1.001937574,1.002312139,1.000256575,0.000807545,0.017394523,1.000089571,0.000201919,26783.63711,37973.49863,0,36033540,0
35,0,1.001177666,2,0,0,1.001356176,1.002312139,1,1.72E-15,0,1,0,0,0,0,1405837366,0
36,0.052579365,1.065298761,0,0.033998681,0,1.000640041,1.001154734,1.002726516,0.002453762,0.128793486,1.00109418,0.003119588,58809.02348,329910.6567,0,1811345,0
37,0,1.00050466,0,0,0.332891858,1.000786572,1.001154734,1,1.72E-15,0,1,0,0,0,0,1667340014,0
38,0,1,13,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,225863929,0
39,0,1.000002964,2,0.001622036,0,1,1,1,1.72E-15,0,1,0,0,0,0,17251859,0
40,0.046130952,0.998406876,10,0.012785554,0,1.003350549,1.005800464,1.00782992,0.008526802,0.041080681,1.001772714,0.003398631,341915.3634,554036.0526,0,2157221681,0
41,0.026289683,1.000008715,9,0.024469317,0,1.001452831,1.002312139,1.000035406,0.000127579,0.009252406,1.000059715,7.32E-05,12606.99367,14693.66425,0,230681881,0
42,0.10218254,1.012660028,3,0.045235774,0,1.002910119,1.004634994,1.007966093,0.006200679,0.132124352,1.003534502,0.005811209,123583.8518,647284.9512,0,2287522879,0
43,0,0,6,0,0.049983921,1,1,1,1.72E-15,0,1,0,0,0,0,17001700,0
44,0.000992063,1,6,7.08E-05,0,1,1,1,1.72E-15,0.012583272,1,0,0,0,0,12811997,0
45,0,0.980407298,6,0,0.034658015,1,1,1,1.72E-15,0,1,0,0,0,0,17001703,0
46,0.033730159,1.008029262,2,0.016930924,4.34E-05,1.009666981,1.015222482,1.001097382,0.00227519,0.035159141,1.000939514,0.001480327,118016.1387,226839.1727,0,61896084,0
47,0,0,0,0,0.19106555,1,1,1,1.72E-15,0,1,0,0,0,0,14191419,0
48,0,0.996611981,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,1288395,0
49,0,1.134236441,0,0,0,1.001418912,1.002312139,1,1.72E-15,0,1,0,0,0,0,225933873,0
50,0,0.97355759,11,0,0.026321336,1,1,1,1.72E-15,0,1,0,0,0,0,15341809,0
51,0,0.996813423,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,92624215,0
52,0.000496032,1.001549288,6,0.000295569,0.206432413,1,1,1.000002397,9.84E-06,0.00592154,1.000001265,1.57E-06,387.0579791,387.0579791,0,24632465,0
53,0.024305556,0.996023433,3,0.025036438,0,1.000783938,1.001154734,1.001293497,0.001518104,0.034048853,1.000590275,0.001553613,156192.3931,308644.5287,0,21894849,0
54,0,1.005879705,3,0.000354321,0.037124598,1,1,1,1.72E-15,0.000370096,1,0,0,0,0,32281688,0
55,0.119047619,1.124911551,2,0.16182365,0.068235101,1.000788773,1.001154734,1,1.72E-15,0,1,0,0,0,0,2298910367,0
56,0,1.13280806,1,0,0.004354215,1,1,1,1.72E-15,0,1,0,0,0,0,14731474,0
57,0,0.999750051,0,0,0,1.003994706,1.001154734,1,1.72E-15,0,1,0,0,0,0,2308146370,0
58,0,1.002389113,0,0,0.516846322,1.000689784,1.001154734,1,1.72E-15,0,1,0,0,0,0,736246374,0
59,0.000992063,1,0,7.08E-05,0,1,1,1,1.72E-15,0.015173945,1,0,0,0,0,13101316,0
60,0,1.001501056,0,0,0,1.001911894,1.001154734,1,1.72E-15,0,1,0,0,0,0,3504711751,0
61,0.009424603,1.000812662,7,0.000450461,0,1.00003689,1,1.000032206,5.60E-05,0.012583272,1.000005605,4.47E-06,403.269894,504.8381073,0,1605722693,0
62,0.083829365,1.103571002,3,0.126038194,0.019690676,1.007003652,1.003472222,1.006119966,0.004243663,0.062176166,1.005054884,0.018613947,240885.6211,1010345.234,0,2273322768,0
63,0,1.001680112,2,3.65E-05,0,1,1,1,1.72E-15,0,1,0,0,0,0,4041340,0
64,0,1.001236252,1,0,0,1.003918049,1.001154734,1,1.72E-15,0,1,0,0,0,0,690630196,0
65,0,0,6,0,0.031398932,1,1,1,1.72E-15,0,1,0,0,0,0,14291429,0
66,0.173115079,1.00013095,2,0.066999071,0.025959042,1.000044489,1,1,1.72E-15,0,1,0,0,0,0,1111511121,0
67,0.003472222,1.010350414,0,0.011596318,0,1.003459245,1.004634994,1.000179876,0.000869055,0.015173945,1.00021836,0.000668244,75834.17519,116742.9084,0,206329339,0
68,0.03125,0.999509848,0,0.033834323,0.017928976,1.004694023,1.004634994,1,1.72E-15,0.023316062,1,0,0,0,0.000129518,2308117509,0
69,0,0.997837126,8,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,15441545,0
70,0,1.102359722,10,0,0.046874731,1,1,1,1.72E-15,0,1,0,0,0,0,15611558,0
71,0.011904762,1.001520951,0,0.007760859,0.035037914,1,1,1.000309899,0.000534104,0.011843079,1.000193143,0.000410874,26086.93098,56446.08,0,1100711099,0
72,0,1.14456831,3,0,0.008360706,1,1,1,1.72E-15,0,1,0,0,0,0,7811466,0
73,0,0.997888277,0,0,0.099106974,1.001183737,1.001154734,1,1.72E-15,0,1,0,0,0,0,1077019636,0
74,0,1.002447637,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,5281401,0
75,0.185515873,1.00854778,2,0.102706965,0.079431307,1.037117571,1.056029233,1.00455757,0.007041252,0.109918579,1.006151754,0.008934024,132192.9758,571390.4175,0,2283320884,0
76,0,1.00124995,0,0,0.147241469,1,1,1,1.72E-15,0,1,0,0,0,0,11181419,0
77,0.108134921,1.037099101,0,0.111677783,0,1,1,1.003315099,0.002280713,0.08919319,1.002409401,0.007356718,98810.83116,338345.8233,0,12711896,0
78,0.005952381,1.006821401,3,0.002667603,0,1,1,1.00005137,5.44E-05,0.014063657,1.00002196,6.21E-05,4673.836989,8318.093928,0,181111943,0
79,0,0,9,0,0.133956352,1,1,1,1.72E-15,0,1,0,0,0,0,15371537,0
80,0.000496032,1.002588511,2,0.000423151,0,1.001243141,1.001154734,1.000004107,2.07E-05,0.012583272,1.000002275,2.70E-06,48.31694076,664.9148985,0,2272514003,0
81,0,0.969013436,11,0,0.030923543,1,1,1,1.72E-15,0,1,0,0,0,0,15251809,0
82,0.029761905,1.044916757,0,0.013483761,0,1,1,1.001307097,0.000477069,0.022205774,1.000211431,0.000962309,115384.2086,162328.6009,0,528636,0
83,0,0,0,0,0.228384575,1,1,1,1.72E-15,0,1,0,0,0,0,14401440,0
84,0,1.006704233,2,0.000410322,0,1.00855916,1.004634994,1,1.72E-15,0,1,0,0,0,0,78807879,0
85,0.021825397,1.001886278,8,0.03046172,0,1.002353921,1,1.000106105,0.000699723,0.034418949,1.000137358,0.000270833,40261.5336,52131.59576,0,1579922693,0
86,0,0.957221251,0,0,0.237435289,1,1,1,1.72E-15,0,1,0,0,0,0,14401443,0
87,0,1.000546539,4,0,0,1,1,1,1.72E-15,0.047002221,1,0,0,0,0,1514264,0
88,0,0.998701865,0,0,0.178920316,1,1,1,1.72E-15,0,1,0,0,0,0,13751721,0
89,0,0,2,0,0.14750605,1,1,1,1.72E-15,0,1,0,0,0,0,15211521,0
90,0,0.964768195,3,0,0.25062032,1,1,1,1.72E-15,0,1,0,0,0,0,15211523,0
91,0,0.993246321,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,24441726,0
92,0.004960317,1.001626233,2,0.004073441,0.101718449,1.00196771,1.002312139,1.000291318,0.000683355,0.004441155,1.000301339,0.000358523,28147.84598,46183.23662,0,230573579,0
93,0,0.991668379,0,0,0.07473854,1,1,1,1.72E-15,0,1,0,0,0,0,16621663,0
94,0,0.995142586,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,12881336,0
95,0,0,0,0,0.175017812,1,1,1,1.72E-15,0,1,0,0,0,0,15071507,0
96,0.023809524,1.167256229,0,0.00392756,0,1,1,1.000569697,0.000199135,0.028497409,1.000080859,0.000201865,24289.25891,35056.35841,0,16241626,0
97,0,0.990020543,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,17671768,0
98,0,0,10,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,15281528,0
99,0.03125,0.987480902,0,0.00921966,0.016811214,1.002870627,1.002312139,1,1.72E-15,0.023316062,1,0,0,0,3.53E-05,82008047,0
100,0,1.000119183,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,17671765,0
101,0,0.992412067,0,0.001425119,0,1,1,1,1.72E-15,0.010362694,1,0,0,0,0,6471404,0
102,0,1.000132037,3,0.002498109,0,1.000008822,1,1,1.72E-15,0.001850481,1,0,0,0,0,225695648,0
103,0,0.994560962,0,0,0.011103229,1,1,1,1.72E-15,0,1,0,0,0,0,2267931718,0
104,0,1.000496462,2,0,0.000318113,1.001256735,1.001154734,1,1.72E-15,0,1,0,0,0,0,2253538793,0
105,0,1,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,128124570,0
106,0.021329365,1.014431654,2,0.021064578,0.028202973,1.007571959,1.012850467,1.002023234,0.002891024,0.028497409,1.001995454,0.004066734,177362.681,652071.7327,0,1672622895,0
107,0,1.002277324,0,0,0,1.0050233,1.001154734,1,1.72E-15,0,1,0,0,0,0,288205531,0
108,0.01140873,1.000091014,0,0.00405532,0.028331841,1,1,1,1.72E-15,0,1,0,0,0,0,177416018,0
109,0.086805556,1.104032767,0,0.037473275,0.035385889,1.001275794,1.002312139,1.011091573,0.011892176,0.085122132,1.004163214,0.006641329,154666.1671,602391.8958,0,62097047,0
110,0,0,10,0,0.01600232,1,1,1,1.72E-15,0,1,0,0,0,0,15631563,0
111,0.086805556,0.991870031,0,0.0528505,0,1.015204424,1.024822695,1,1.72E-15,0,1,0,0,0,0,52965592,0
112,0,1.005316028,5,0,0.018672245,1,1,1,1.72E-15,0.010362694,1,0,0,0,0,29451636,0
113,0.017361111,1.002502726,0,0.024065478,0,1.000703561,1.001154734,1.000881514,0.001159629,0.021465581,1.000735778,0.001521585,150785.4635,199978.5321,0,617217728,0
114,0.058035714,1.002415847,7,0.019757374,0,1,1,1.000272378,0.000241333,0.064026647,1.000086977,0.000139802,2497.530659,8234.426837,0,2288316235,0
115,0.021329365,1.011017107,2,0.021064578,0.132041035,1.007692035,1.012850467,1.002023234,0.002891024,0.028497409,1.001995454,0.004066734,177362.681,652071.7327,0,1674522891,0
116,0,1.032274532,1,0.000341495,0,1.003172031,1.004634994,1,1.72E-15,0.014803849,1,0,0,0,0,34891459,0
117,0.021329365,1.012716125,1,0.021064578,0.101714885,1.007614417,1.012850467,1.002023234,0.002891024,0.028497409,1.001995454,0.004066734,177362.681,652071.7327,0,1674522895,0
118,0,1,5,0.001622036,0,1,1,1,1.72E-15,0,1,0,0,0,0,13541725,0
119,0,1.003609239,3,0.000207303,0.133365949,1,1,1,1.72E-15,0.001850481,1,0,0,0,0,73623529,0
120,0,0.998250432,10,0,0.010717337,1,1,1,1.72E-15,0,1,0,0,0,0,15281809,0
121,0.03125,1.000557007,9,0.024310404,0,1.003409209,1.003472222,1.000680163,0.001037362,0.031088083,1.000338387,0.000282385,14020.18415,35343.79673,0,2242522453,0
122,0,0.937583371,3,0,0.049925031,1.001345383,1.002312139,1,1.72E-15,0,1,0,0,0,0,247821492,0
123,0.03125,1.001670712,2,0.021242543,0.012077181,1.000632099,1,1,1.72E-15,0,1,0,0,0,0,1553415537,0
124,0.01140873,1.000219824,1,0.012914273,0,1.000145364,1,1.000021325,5.44E-05,0.017024426,1.000053957,6.15E-05,3933.656041,8030.375836,0,857422865,0
125,0,1,1,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,227009718,0
126,0,1.075592842,9,0,0.295584047,1,1,1,1.72E-15,0,1,0,0,0,0,15681757,0
127,0.032738095,1.031210663,4,0.0210708,0.012677074,1.0006354,1.001154734,1.002789009,0.002964866,0.080680977,1.00179679,0.003156717,142631.482,672547.0821,0,1317013228,0
128,0,0.998099072,0,0,0.34045423,1,1,1,1.72E-15,0,1,0,0,0,0,1121234571,0
129,0.015873016,1.015390537,12,0.013133015,0.007281963,1.003899519,1.003472222,1.000613383,0.001067112,0.019245004,1.000757134,0.000789052,83411.66741,114975.1962,0,225575709,0
130,0,1.000057712,10,0,0.002580946,1,1,1,1.72E-15,0,1,0,0,0,0,15561557,0
131,0,1.005114745,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,530518111,0
132,0,0,8,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,14331433,0
133,0,0.994131706,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,47823787,0
134,0,1.00140469,2,0.000110065,0,1,1,1,1.72E-15,0,1,0,0,0,0,17351736,0
135,0,1.037558888,4,0,0.270664739,1,1,1,1.72E-15,0,1,0,0,0,0,15881591,0
136,0,1.000023521,3,0,0.000921862,1.000745736,1.001154734,1,1.72E-15,0,1,0,0,0,0,272628616,0
137,0,0,0,0,0.564975175,1,1,1,1.72E-15,0,1,0,0,0,0,13911391,0
138,0,0.997608807,5,0,0.120318404,1,1,1,1.72E-15,0,1,0,0,0,0,2269421685,0
139,0,0.784613057,8,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,10263498,0
140,0,1.000001603,13,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,225893933,0
141,0,0,0,0,0.00317659,1,1,1,1.72E-15,0,1,0,0,0,0,14671467,0
142,0,0.997481567,0,0,0,1.007704859,1.001154734,1,1.72E-15,0,1,0,0,0,0,269913702,0
143,0,1.000244138,5,0.012597987,0,1.000291454,1,1,1.72E-15,0.000740192,1,0,0,0,0,194722434,0
144,0,0.9968933,5,0,0.008050716,1,1,1,1.72E-15,0,1,0,0,0,0,16901772,0
145,0,1.000730746,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,2262712645,0
146,0.037698413,1.140089609,12,0.033235052,0,1.000694096,1.001154734,1.008264613,0.009866559,0.056254626,1.004752002,0.013589712,767091.2254,2148426.688,0,65372046,0
147,0,1.004892403,8,0,0,1.003039439,1.002312139,1,1.72E-15,0,1,0,0,0,0,2269139364,0
148,0.092261905,1.013921544,1,0.049076949,0.016246422,1.007664262,1.011668611,1.003735474,0.005596876,0.094744634,1.001688784,0.003396022,110210.7814,358839.0856,0,2195921967,0
149,0,1.000914336,2,0,0,1.000696591,1.001154734,1,1.72E-15,0,1,0,0,0,0,21762175,0
150,0,0,0,0,0.069691987,1,1,1,1.72E-15,0,1,0,0,0,0,14441444,0
151,0,0.999473916,0,0,0.059963621,1,1,1,1.72E-15,0,1,0,0,0,0,14441445,0
152,0,1.003586841,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,151853987,0
153,0,1.023728798,0,3.65E-05,0,1,1,1,1.72E-15,0.002590674,1,0,0,0,0,81551,0
154,0,1.000071728,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,298323515,0
155,0.03125,1.001962402,0,0.020399666,0,1.004060745,1.005800464,1,1.72E-15,0.023316062,1,0,0,0,7.81E-05,662129942,0
156,0,1.000092141,8,0.040407147,0.782061405,1,1,1,1.72E-15,0.000740192,1,0,0,0,0,19132004,0
157,0,1.001608093,5,0,0,1.001520033,1.002312139,1,1.72E-15,0,1,0,0,0,0,35383540,0
158,0,0.991649506,5,0,0.204312903,1,1,1,1.72E-15,0,1,0,0,0,0,31731678,0
159,0,0.999179056,0,0,0.040303791,1,1,1,1.72E-15,0,1,0,0,0,0,301656821,0
160,0,1.000042481,2,0.000110065,0,1,1,1,1.72E-15,0.001110289,1,0,0,0,0,18591860,0
161,0.03125,1.003972801,0,0.070998922,0,1.062834525,1.078358209,1,1.72E-15,0.023316062,1,0,0,0,0.000271784,2088220884,0
162,0.002480159,1.000819936,3,0.005713525,0.433513633,1,1,1.000205829,0.00045404,0.001850481,1.000193708,0.000710606,132036.1471,136476.2928,0,1774120208,0
163,0.155257937,1.020176591,4,0.082949758,0.023757164,1.004064916,1.006968641,1.002419298,0.00299773,0.173205033,1.001771417,0.003600547,53693.79201,201630.3199,0,377722405,0
164,0.005456349,1.019155394,0,0.001569797,0.018695366,1.002073396,1.002312139,1.000312261,0.000504814,0.011102887,1.000075568,0.000134635,22585.44067,30141.88026,0,1870612003,0
165,0.004464286,1.021649972,1,0.003798926,0.403893984,1.002561376,1.003472222,1.000147194,0.000729072,0.018874907,1.00005336,0.000151932,12585.48278,25583.30759,0,48493529,0
166,0,1.002341354,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,13821271,0
167,0,1.000445035,4,0,0.220571856,1,1,1,1.72E-15,0.000370096,1,0,0,0,0,22604920,0
168,0.014880952,1.00584705,2,0.005904743,0,1.004373503,1.006968641,1.001095834,0.002879645,0.056254626,1.000554816,0.000783737,67450.82468,157770.2078,0,71977248,0
169,0,1,0,0,0.002782308,1,1,1,1.72E-15,0,1,0,0,0,0,1614516145,0
170,0,1.000125374,3,0,0.00170178,1,1,1,1.72E-15,0,1,0,0,0,0,31683170,0
171,0,1.00110087,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,53015305,0
172,0,0.701558032,8,0.001456257,0.016420294,1,1,1,1.72E-15,0,1,0,0,0,0,349822180,0
173,0,1.005400086,5,0.001366473,0,1,1,1,1.72E-15,0.03330866,1,0,0,0,0,21291424,0
174,0,1.001935677,3,0.000410322,0,1,1,1,1.72E-15,0.01665433,1,0,0,0,0,29097880,0
175,0,1.113779832,11,0,0.002465049,1,1,1,1.72E-15,0,1,0,0,0,0,14841556,0
176,0.061011905,0.994604618,0,0.024914935,0,1.006713865,1.009313155,1,1.72E-15,0,1,0,0,0,0,1228612269,0
177,0.008928571,1.000756861,2,0.007794365,0.107887476,1.005042867,1.008139535,1.000323308,0.00055429,0.009252406,1.000279584,0.000311273,19705.97263,29287.13497,0,211302004,0
178,0,0.999696551,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,463872430,0
179,0.060019841,1.017251454,1,0.022636348,0.611999411,1.000908987,1.001154734,1,1.72E-15,0,1,0,0,0,0,922120424,0
180,0.029761905,1.013616731,3,0.013483761,0,1,1,1.001307097,0.000477069,0.022205774,1.000211431,0.000962309,115384.2086,162328.6009,0,43462430,0
181,0.000496032,1.000442515,5,0.003491134,0,1.002184543,1.002312139,1.000006897,0.000109322,0.002590674,1.000021726,2.52E-05,6192.983408,6192.983408,0,2272522729,0
182,0.007440476,1.007201327,1,0.01721782,0.000885109,1.000399426,1,1.000072313,0.000353519,0.024796447,1.00018198,0.000253196,17148.59709,50846.32726,0,2259513699,0
183,0,1.00248029,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,665412649,0
184,0,1.000028254,14,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,194518103,0
185,0,0.997647358,2,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,7556,0
186,0.005952381,1.008521319,16,0.002667603,0,1.010347497,1.015222482,1.00005137,5.44E-05,0.014063657,1.00002196,6.21E-05,4673.836989,8318.093928,0,1473314750,0
187,0.126488095,1.037014801,0,0.056309703,0,1,1,1.007283355,0.00523925,0.137305699,1.003923409,0.007001406,279912.0508,922255.6114,0,645022617,0
188,0,0.973690782,5,0,0.050281563,1,1,1,1.72E-15,0,1,0,0,0,0,17061708,0
189,0.061507937,1.019467655,0,0.035835813,0,1.002071884,1.003472222,1.021774915,0.013381334,0.045891932,1.006514431,0.018727541,1325018.264,2969542.51,0,66212046,0
190,0.05109127,1.002745015,0,0.032203449,0,1.005046014,1.008139535,1.001647224,0.001540967,0.033678756,1.000919385,0.001689512,107472.1508,157183.5077,0,60186084,0
191,0,0.91693312,0,0,0,1,1,1,1.72E-15,0.012583272,1,0,0,0,0,13471349,0
192,0,1.005481934,0,0,0.06776588,1,1,1,1.72E-15,0,1,0,0,0,0,272173873,0
193,0,0,3,0,0.092393514,1,1,1,1.72E-15,0,1,0,0,0,0,15811581,0
194,0.10218254,1.011252374,3,0.045235774,0,1.003684431,1.005800464,1.007966093,0.006200679,0.132124352,1.003534502,0.005811209,123583.8518,647284.9512,0,2287515887,0
195,0,0,0,0,0.119240454,1,1,1,1.72E-15,0,1,0,0,0,0,16881688,0
196,0,1.048244459,4,0,0.201104987,1,1,1,1.72E-15,0,1,0,0,0,0,15811584,0
197,0.084325397,1.06457613,1,0.056767599,0.146543918,1.002241009,1.003472222,1.009807693,0.006628873,0.076609919,1.004477295,0.010328228,196639.3915,854196.2775,0,2254716250,0
198,0.03968254,1.002445904,0,0.028148129,0,1.004166716,1.006968641,1.001466299,0.001077383,0.033678756,1.000721194,0.001436356,36492.18184,88507.34958,0,60186129,0
199,0,1.001960735,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,721450,0
200,0,1.000427182,0,0,0.048452115,1.001418003,1.001154734,1,1.72E-15,0,1,0,0,0,0,330829776,0
201,0,0.798320523,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,102624314,0
202,0,1.017508996,6,0.001456257,0.634432065,1,1,1,1.72E-15,0,1,0,0,0,0,35001494,0
203,0.027777778,1.006223633,3,0.008682216,0.125286247,1,1,1.00066243,0.000445519,0.021835677,1.00018638,0.00036108,31338.67989,36891.25353,0,89349221,0
204,0.107142857,1.155534968,6,0.047865477,0,1.008108753,1.01048951,1.014575822,0.015662127,0.103626943,1.006880549,0.01325434,346070.843,1536950.755,0,1157921752,0
205,0,1.004411874,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,53323616,0
206,0.028769841,1.021326307,0,0.019535959,0.438834705,1.00181534,1.002312139,1.002878523,0.003099333,0.030717987,1.000737406,0.001767886,166283.8931,252583.6157,0,2289433600,0
207,0,0,1,0,0.065363261,1,1,1,1.72E-15,0,1,0,0,0,0,16071607,0
208,0,0.984959325,3,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,17331736,0
209,0,1.000057369,2,0,0.5221277,1.000038698,1,1,1.72E-15,0,1,0,0,0,0,1138716320,0
210,0.030753968,1.002095364,1,0.021435906,0,1.001952058,1.002312139,1.006879681,0.008138915,0.031088083,1.003103518,0.007123263,444059.4209,674530.2982,0,169697039,0
211,0,1.004919138,4,0.006310617,0,1,1,1,1.72E-15,0,1,0,0,0,0,178125885,0
212,0.043154762,1.001928288,0,0.01889248,0.071572159,1.005771222,1.009313155,1.001121817,0.002818048,0.041450777,1.000475716,0.000844609,70553.73545,111197.1436,0,225695296,0
213,0.021825397,1.071891335,13,0.024191728,0,1.001296667,1.002312139,1.002504963,0.002565857,0.018504811,1.001325307,0.003519937,381798.0866,498283.5931,0,2063215394,0
214,0.021825397,1.177846737,14,0.026110488,0,1.015343194,1.02,1.00297983,0.00335455,0.018504811,1.0016404,0.004932512,461811.9688,749370.5541,0,1539422843,0
215,0,0.999574823,0,0,0.117491923,1.00066533,1.001154734,1,1.72E-15,0,1,0,0,0,0,824231567,0
216,0.079365079,0.994006844,1,0.049039804,0,1.007360018,1.01048951,1.017990498,0.022173683,0.096965211,1.005429725,0.016801878,339912.4293,1442084.856,0,225795592,0
217,0,0,0,0,0,1,1,1,1.72E-15,0,1,0,0,0,0,14661466,0
