scenario_id,region_id,family,label,selection_method,target_segment,disruption_mode,capacity_factor,p_fail_scale,max_edges,hazard_bbox_west,hazard_bbox_south,hazard_bbox_east,hazard_bbox_north,rail_travel_time_multiplier,rail_headway_multiplier,rail_capacity_multiplier,evidence_class,observed_disaster_data,duration_min,recovery_profile,temporal_scope,notes,road_travel_time_multiplier
goseong_spatial_assembly_egress,goseong_mobilization,spatial_hazard_overlay,Assembly egress dual-corridor exposure overlay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,6,127.1140,37.5220,127.1180,37.5250,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Assembly egress dual-exposure; hits shared initial segments of bus A->D and feeder A->S.,
goseong_rail_delay,goseong_mobilization,rail_service,Rail travel-time degradation scenario,rail_param,none,none,1.0,1.0,,,,,,1.5,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x1.5; no road-edge disruption.,
goseong_rail_capacity_reduction,goseong_mobilization,rail_service,Rail capacity reduction scenario,rail_param,none,none,1.0,1.0,,,,,,,,0.5,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail capacity x0.5; no road-edge disruption.,
goseong_rail_combined_stress,goseong_mobilization,rail_service,Rail combined delay headway and capacity stress,rail_param,none,none,1.0,1.0,,,,,,1.5,1.5,0.5,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x1.5 headway x1.5 capacity x0.5 combined stress.,
goseong_combo_tancheon_rail_delay,goseong_mobilization,spatial_hazard_overlay,Hongcheon corridor road disruption combined with rail delay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,6,127.1060,37.5160,127.1120,37.5230,1.5,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Multi-hazard: Tancheon road + rail travel time x1.5.,
goseong_combo_access_rail_capacity,goseong_mobilization,access_road,Access road A->D degradation combined with rail capacity reduction,shortest_path,A->D,capacity_reduction,0.40,1.0,,,,,,,,0.5,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Multi-hazard: A->D road + rail capacity x0.5.,
goseong_rail_delay_mild,goseong_mobilization,rail_service,Rail mild travel-time degradation,rail_param,none,none,1.0,1.0,,,,,,1.2,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x1.2; mild severity ladder step.,
goseong_rail_delay_severe,goseong_mobilization,rail_service,Rail severe travel-time degradation,rail_param,none,none,1.0,1.0,,,,,,2.0,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail travel time x2.0; severe severity ladder step.,
goseong_rail_unavailable,goseong_mobilization,rail_service,Rail effectively removed,rail_param,none,none,1.0,1.0,,,,,,100.0,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail effectively removed (travel time x100); extreme severity representing complete rail unavailability.,
goseong_rail_combined_stress_mild,goseong_mobilization,rail_service,Rail mild combined stress,rail_param,none,none,1.0,1.0,,,,,,1.2,1.2,0.75,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail mild combined stress: travel time x1.2 headway x1.2 capacity x0.75.,
goseong_rail_combined_stress_severe,goseong_mobilization,rail_service,Rail severe combined stress,rail_param,none,none,1.0,1.0,,,,,,2.0,2.0,0.25,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Rail severe combined stress: travel time x2.0 headway x2.0 capacity x0.25.,
goseong_transfer_point_blockage,goseong_mobilization,spatial_hazard_overlay,Transfer-point road degradation near rail access station S,bbox_midpoint,bbox,capacity_reduction,0.30,1.0,4,127.1285,37.5150,127.1320,37.5182,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Transfer-point road degradation near rail access station S; tests multimodal vulnerability at the modal transfer location.,
goseong_access_road_damage_mild,goseong_mobilization,access_road,"Access leg A->S road damage, mild",shortest_path,A->S,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted road-damage ladder on the access leg A->S (multimodal feeder shuttle leg; bus_only A->D shares the initial segment). Direct-slowdown lever (free-flow t0 x MULT with capacity_factor=1.0) isolates road damage from the wartime-inert capacity path. Planning sensitivity, not calibrated; bites both alternatives.",1.5
goseong_access_road_damage_severe,goseong_mobilization,access_road,"Access leg A->S road damage, severe",shortest_path,A->S,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted road-damage ladder on the access leg A->S (multimodal feeder shuttle leg; bus_only A->D shares the initial segment). Direct-slowdown lever (free-flow t0 x MULT with capacity_factor=1.0) isolates road damage from the wartime-inert capacity path. Planning sensitivity, not calibrated; bites both alternatives.",3.0
goseong_access_road_damage_extreme,goseong_mobilization,access_road,"Access leg A->S road damage, extreme",shortest_path,A->S,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted road-damage ladder on the access leg A->S (multimodal feeder shuttle leg; bus_only A->D shares the initial segment). Direct-slowdown lever (free-flow t0 x MULT with capacity_factor=1.0) isolates road damage from the wartime-inert capacity path. Planning sensitivity, not calibrated; bites both alternatives.",8.0
goseong_last_mile_damage_mild,goseong_mobilization,last_mile,"Last-mile leg R->D road damage, mild",shortest_path,R->D,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted road-damage ladder on the last-mile leg R->D (multimodal last-mile road leg; bus_only A->D shares the terminal segment). Direct-slowdown lever (free-flow t0 x MULT with capacity_factor=1.0). Planning sensitivity, not calibrated; bites both alternatives.",1.5
goseong_last_mile_damage_severe,goseong_mobilization,last_mile,"Last-mile leg R->D road damage, severe",shortest_path,R->D,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted road-damage ladder on the last-mile leg R->D (multimodal last-mile road leg; bus_only A->D shares the terminal segment). Direct-slowdown lever (free-flow t0 x MULT with capacity_factor=1.0). Planning sensitivity, not calibrated; bites both alternatives.",3.0
goseong_last_mile_damage_extreme,goseong_mobilization,last_mile,"Last-mile leg R->D road damage, extreme",shortest_path,R->D,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted road-damage ladder on the last-mile leg R->D (multimodal last-mile road leg; bus_only A->D shares the terminal segment). Direct-slowdown lever (free-flow t0 x MULT with capacity_factor=1.0). Planning sensitivity, not calibrated; bites both alternatives.",8.0
goseong_long_haul_damage_severe,goseong_mobilization,access_road,"Long-haul trunk S->R road damage, severe",shortest_path,S->R,capacity_reduction,1.0,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,"Segment-targeted severe road damage on the long-haul trunk S->R road corridor (bus_only A->D shares this trunk; multimodal traverses S->R by rail, not this road). Direct-slowdown lever (free-flow t0 x 3.0 with capacity_factor=1.0). Planning sensitivity, not calibrated; bites bus_only, multimodal is rail-immune (rail-substitution).",3.0
