prior_path,root_equivalent_path,root_exists,root_tracked,classification,recommended_action
transport_simulation_core\tests\test_realworld_review_package_handoff.py,tests\test_realworld_review_package_handoff.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_review_package_builder.py,tests\test_realworld_review_package_builder.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_reproducibility_smoke.py,tests\test_realworld_reproducibility_smoke.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_reproducibility_review_packet.py,tests\test_realworld_reproducibility_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_reproducibility_decision_packet.py,tests\test_realworld_reproducibility_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_reproducibility_acceptance.py,tests\test_realworld_reproducibility_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_replication_adequacy_audit.py,tests\test_realworld_replication_adequacy_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_region_reusability.py,tests\test_realworld_region_reusability.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_timing_request_packet.py,tests\test_realworld_rail_timing_request_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_timetable_api.py,tests\test_realworld_rail_timetable_api.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_timetable.py,tests\test_realworld_rail_timetable.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_station_cache.py,tests\test_realworld_rail_station_cache.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_station_binding.py,tests\test_realworld_rail_station_binding.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_source_decision_packet.py,tests\test_realworld_rail_source_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_shortest_path_api.py,tests\test_realworld_rail_shortest_path_api.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_shortest_path.py,tests\test_realworld_rail_shortest_path.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_gtfs.py,tests\test_realworld_rail_gtfs.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_fetch_readiness_packet.py,tests\test_realworld_rail_fetch_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_evidence_review_packet.py,tests\test_realworld_rail_evidence_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_evidence_priority_packet.py,tests\test_realworld_rail_evidence_priority_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_rail_evidence.py,tests\test_realworld_rail_evidence.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_publication_readiness.py,tests\test_realworld_publication_readiness.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_provenance_acceptance.py,tests\test_realworld_provenance_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_policy_alternatives.py,tests\test_realworld_policy_alternatives.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_plausibility.py,tests\test_realworld_plausibility.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_plan_audit.py,tests\test_realworld_plan_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_statistics.py,tests\test_realworld_pilot_statistics.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_smoke.py,tests\test_realworld_pilot_smoke.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_region_decision_packet.py,tests\test_realworld_pilot_region_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_privacy_review_packet.py,tests\test_realworld_pilot_privacy_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_figures.py,tests\test_realworld_pilot_figures.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_experiments.py,tests\test_realworld_pilot_experiments.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_pilot_acceptance.py,tests\test_realworld_pilot_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_source_readiness_packet.py,tests\test_realworld_parameter_source_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_source_decision_packet.py,tests\test_realworld_parameter_source_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_review_packet.py,tests\test_realworld_parameter_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_evidence_request_packet.py,tests\test_realworld_parameter_evidence_request_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_evidence_priority_packet.py,tests\test_realworld_parameter_evidence_priority_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_audit.py,tests\test_realworld_parameter_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameter_acceptance.py,tests\test_realworld_parameter_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_parameters.py,tests\test_realworld_parameters.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_osrm_snapshot_manifest.py,tests\test_realworld_osrm_snapshot_manifest.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_osm_network.py,tests\test_realworld_osm_network.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_design.md,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_design.md,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\assumption_bounds_input_manifest.json,outputs\runs\gate2_20260601_232844\gate2\assumption_bounds_input_manifest.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_design.json,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_design.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_design.csv,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_design.csv,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\accessibility_loss_summary.md,outputs\runs\gate2_20260601_232844\gate2\accessibility_loss_summary.md,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\assumption_bounds_register.csv,outputs\runs\gate2_20260601_232844\gate2\assumption_bounds_register.csv,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\demand_behavior_orchestrator_decision.json,outputs\runs\gate2_20260601_232844\gate2\demand_behavior_orchestrator_decision.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\src\realworld\transfer_evidence_review_packet.py,src\realworld\transfer_evidence_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\validation.py,src\realworld\validation.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\tracked_artifact_audit.py,src\realworld\tracked_artifact_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\__init__.py,src\realworld\__init__.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\source_url_remediation_packet.py,src\realworld\source_url_remediation_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\data\scenarios\demand_profiles.csv,data\scenarios\demand_profiles.csv,False,False,document_or_input_missing_from_root,recover_from_logs_or_regenerate_from_verified_sources
transport_simulation_core\data\manifests\pilot_experiment_design.json,data\manifests\pilot_experiment_design.json,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_compact_nonarrival_execution_output_validator.py,tests\test_compact_nonarrival_execution_output_validator.py,False,False,code_or_test_missing_from_root,recover_from_session_content_if_available_or_reimplement_tests_first
transport_simulation_core\tests\test_compact_nonarrival_execution_contract.py,tests\test_compact_nonarrival_execution_contract.py,False,False,code_or_test_missing_from_root,recover_from_session_content_if_available_or_reimplement_tests_first
transport_simulation_core\tests\test_compact_nonarrival_probe_mapping.py,tests\test_compact_nonarrival_probe_mapping.py,False,False,code_or_test_missing_from_root,recover_from_session_content_if_available_or_reimplement_tests_first
transport_simulation_core\tests\test_models.py,tests\test_models.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_acceptance_orchestration.py,tests\test_realworld_acceptance_orchestration.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_acceptance_decision_templates.py,tests\test_realworld_acceptance_decision_templates.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_metrics.py,tests\test_metrics.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_clean_checkout_smoke.py,tests\test_realworld_clean_checkout_smoke.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_crn_pairing_audit.py,tests\test_realworld_crn_pairing_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_experiment_acceptance.py,tests\test_realworld_experiment_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_experiment_design_decision_packet.py,tests\test_realworld_experiment_design_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_experiment_package_review_packet.py,tests\test_realworld_experiment_package_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_experiment_statistical_plan.py,tests\test_realworld_experiment_statistical_plan.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_experiment_strategy_readiness_packet.py,tests\test_realworld_experiment_strategy_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_final_study_readiness.py,tests\test_realworld_final_study_readiness.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_graph_scale_diagnostics.py,tests\test_realworld_graph_scale_diagnostics.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_graph_scale_manifest_audit.py,tests\test_realworld_graph_scale_manifest_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_graph_scale_method_decision_packet.py,tests\test_realworld_graph_scale_method_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_graph_scale_review.py,tests\test_realworld_graph_scale_review.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_graph_scale_acceptance.py,tests\test_realworld_graph_scale_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_graph_scale_strategy_readiness_packet.py,tests\test_realworld_graph_scale_strategy_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\scripts\validate_compact_nonarrival_execution_outputs.py,scripts\validate_compact_nonarrival_execution_outputs.py,False,False,code_or_test_missing_from_root,recover_from_session_content_if_available_or_reimplement_tests_first
transport_simulation_core\scripts\write_compact_nonarrival_probe_mapping.py,scripts\write_compact_nonarrival_probe_mapping.py,False,False,code_or_test_missing_from_root,recover_from_session_content_if_available_or_reimplement_tests_first
transport_simulation_core\scripts\write_compact_nonarrival_execution_contract.py,scripts\write_compact_nonarrival_execution_contract.py,False,False,code_or_test_missing_from_root,recover_from_session_content_if_available_or_reimplement_tests_first
transport_simulation_core\README.md,README.md,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\agents.md,agents.md,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_edge_mapping.json,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_edge_mapping.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_edge_mapping.csv,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_edge_mapping.csv,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\tests\test_realworld_full_graph_runtime_readiness_packet.py,tests\test_realworld_full_graph_runtime_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\status.md,status.md,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_goal_completion_audit.py,tests\test_realworld_goal_completion_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\data\manifests\acceptance_templates\graph_scale_acceptance_template.json,data\manifests\acceptance_templates\graph_scale_acceptance_template.json,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\data\manifests\acceptance_templates\experiment_acceptance_template.json,data\manifests\acceptance_templates\experiment_acceptance_template.json,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\data\manifests\acceptance_orchestration_manifest.json,data\manifests\acceptance_orchestration_manifest.json,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\acceptance_decision_templates.py,src\realworld\acceptance_decision_templates.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\acceptance_orchestration.py,src\realworld\acceptance_orchestration.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\crn_pairing_audit.py,src\realworld\crn_pairing_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\experiment_acceptance.py,src\realworld\experiment_acceptance.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\experiment_package_review_packet.py,src\realworld\experiment_package_review_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\experiment_design_decision_packet.py,src\realworld\experiment_design_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\experiment_statistical_plan.py,src\realworld\experiment_statistical_plan.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\final_study_readiness.py,src\realworld\final_study_readiness.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\formal_acceptance_pre_review.py,src\realworld\formal_acceptance_pre_review.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\full_graph_runtime_readiness_packet.py,src\realworld\full_graph_runtime_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\goal_completion_audit.py,src\realworld\goal_completion_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\graph_scale_manifest_audit.py,src\realworld\graph_scale_manifest_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\graph_scale_method_decision_packet.py,src\realworld\graph_scale_method_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\graph_scale_result_comparison.py,src\realworld\graph_scale_result_comparison.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\graph_scale_review.py,src\realworld\graph_scale_review.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\pilot_experiments.py,src\realworld\pilot_experiments.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\pilot_figures.py,src\realworld\pilot_figures.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\pilot_statistics.py,src\realworld\pilot_statistics.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\replication_adequacy_audit.py,src\realworld\replication_adequacy_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
